ZIP,CASES,DEATHS
28323,61,0
28326,256,2
28327,207,2
28328,926,16
28333,392,9
28334,568,4
28337,245,5
28338,97,2
28339,135,3
28340,408,17
28341,199,1
28343,23,0
28344,95,1
28345,247,5
28347,59,0
28348,589,4
28349,155,12
28351,80,0
28352,772,9
28356,66,3
28357,61,1
28358,1188,22
28360,456,5
28363,25,1
28364,378,5
28365,592,19
28366,139,2
28369,48,1
28371,117,3
28372,436,4
28373,40,1
28374,240,8
28376,842,13
28377,443,10
28379,497,8
28382,104,0
28383,222,2
28384,446,3
28385,43,0
28386,297,6
28387,199,2
28390,284,6
28391,65,0
28392,53,1
28393,58,1
28394,63,1
28395,37,0
28396,60,2
28398,324,9
28399,66,1
28401,453,8
28403,968,3
28405,579,3
28409,449,5
28411,514,5
28412,557,4
28420,98,1
28421,16,0
28422,94,7
28423,45,1
28425,196,3
28428,106,0
28429,93,0
28430,38,1
28431,174,7
28432,51,2
28433,77,0
28434,16,0
28435,29,0
28436,35,0
28438,29,0
28439,46,4
28441,76,2
28442,45,1
28443,292,0
28444,94,0
28445,88,1
28447,76,0
28448,19,1
28449,21,0
28450,63,5
28451,441,3
28452,19,0
28453,276,6
28454,20,0
28455,48,2
28456,89,1
28457,215,2
28458,279,6
28460,139,1
28461,124,2
28462,161,5
28463,275,17
28464,100,2
28465,53,0
28466,332,7
28467,139,3
28468,54,0
28469,98,2
28470,195,2
28472,415,14
28478,102,0
28479,70,1
28480,85,0
28501,247,5
28504,382,18
28508,108,2
28510,9,0
28511,2,0
28512,19,1
28513,198,1
28515,139,2
28516,85,3
28518,156,2
28520,0,0
28521,40,2
28523,32,2
28524,0,0
28525,37,0
28526,28,0
28527,6,0
28528,0,0
28529,49,0
28530,132,1
28531,7,0
28532,170,2
28537,0,0
28538,60,0
28539,116,1
28540,462,7
28542,88,0
28543,38,2
28544,52,2
28546,431,4
28547,206,0
28551,290,6
28552,0,0
28553,3,0
28555,41,0
28556,3,0
28557,159,0
28560,407,18
28562,463,10
28570,246,1
28571,16,0
28572,107,1
28573,71,9
28574,193,4
28575,NA,NA
28577,5,0
28578,243,3
28579,7,0
28580,280,5
28581,0,0
28582,8,0
28584,75,0
28585,43,2
28586,245,1
28587,0,0
28590,528,6
28594,33,0
28601,1000,15
28602,621,20
28604,44,0
28605,25,0
28606,30,0
28607,409,1
28609,90,0
28610,155,1
28611,16,0
28612,208,8
28613,489,8
28615,23,0
28617,29,0
28618,24,0
28621,252,8
28622,28,0
28623,36,0
28624,34,1
28625,669,14
28626,12,0
28627,8,0
28630,426,7
28631,21,0
28634,86,0
28635,47,3
28636,79,4
28637,35,0
28638,226,0
28640,27,0
28642,105,1
28643,21,0
28644,8,0
28645,860,12
28646,14,0
28649,11,0
28650,226,2
28651,90,2
28654,71,2
28655,1434,23
28657,59,0
28658,511,7
28659,400,6
28660,37,0
28663,3,0
28665,30,1
28668,0,0
28669,35,0
28670,37,2
28672,0,0
28673,69,0
28675,163,0
28676,46,0
28677,641,7
28678,51,0
28679,12,0
28681,331,2
28682,6,0
28683,20,0
28684,8,1
28685,18,0
28689,25,0
28690,142,3
28692,49,0
28693,15,0
28694,80,0
28697,302,16
28698,32,0
28701,21,0
28702,3,0
28704,329,0
28705,30,0
28707,NA,NA
28708,2,0
28709,5,0
28711,102,9
28712,215,6
28713,50,1
28714,98,0
28715,287,3
28716,260,28
28717,49,1
28718,4,0
28719,105,3
28721,86,0
28722,85,1
28723,137,0
28726,92,2
28729,21,0
28730,58,1
28731,220,7
28732,154,0
28733,0,0
28734,459,1
28735,0,0
28736,13,0
28739,184,3
28740,13,0
28741,75,0
28742,25,0
28743,11,0
28745,9,0
28746,40,0
28747,8,1
28748,105,4
28751,29,0
28752,639,16
28753,44,0
28754,41,1
28756,58,0
28759,87,1
28761,159,8
28762,89,1
28763,28,0
28766,4,0
28768,76,0
28771,128,2
28772,2,0
28773,58,4
28774,18,0
28775,5,1
28777,254,3
28778,116,1
28779,186,2
28781,6,0
28782,68,3
28783,32,2
28785,46,0
28786,149,1
28787,196,0
28789,52,1
28790,34,0
28791,233,10
28792,824,41
28801,179,4
28803,381,8
28804,152,6
28805,193,11
28806,701,30
28901,153,4
28902,21,0
28904,97,2
28905,49,0
28906,353,6
28909,8,0
