Zip Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1266,12661,1891,15
27007,1390,13904,299,2
27009,1396,13960,411,5
27011,1491,14914,809,7
27012,1332,13321,3864,59
27013,1540,15396,1001,12
27014,1661,16614,160,5
27016,1593,15933,270,4
27017,1670,16696,1593,21
27018,1252,12517,1034,10
27019,1171,11715,496,2
27020,1650,16497,1010,11
27021,1364,13638,2460,54
27022,979,9788,149,3
27023,1121,11209,1436,7
27024,1547,15468,417,4
27025,1249,12485,1395,32
27027,1148,11476,464,19
27028,1459,14587,4114,47
27030,1608,16076,6071,132
27040,1098,10981,1451,13
27041,1403,14027,1128,10
27042,1250,12500,90,2
27043,1250,12496,812,9
27045,1445,14453,1389,12
27046,1147,11470,225,2
27047,1306,13057,168,2
27048,1140,11402,1017,12
27050,1232,12316,507,6
27051,1283,12827,1070,10
27052,1343,13428,1354,28
27053,1020,10203,324,4
27054,1752,17523,459,5
27055,1588,15880,2310,32
27101,1042,10419,2540,48
27103,1175,11755,4251,48
27104,1129,11285,3329,42
27105,1411,14107,5686,54
27106,1119,11186,5766,65
27107,1346,13459,7080,63
27127,1401,14009,5408,30
27157,0,0,0,0
27203,1620,16205,3556,60
27205,1469,14686,5091,56
27207,1193,11929,455,2
27208,1390,13897,235,3
27209,2096,20959,872,43
27212,2613,26125,418,1
27214,1275,12752,1503,16
27215,1410,14098,6350,82
27217,1747,17466,6844,110
27229,1724,17240,693,18
27231,767,7666,157,1
27233,1245,12449,455,4
27235,1272,12721,583,13
27239,1382,13823,1332,20
27242,1083,10832,290,5
27243,907,9068,425,4
27244,1760,17596,2872,29
27248,1295,12947,629,6
27249,1292,12924,1732,19
27252,808,8083,184,2
27253,1574,15742,4965,61
27258,1258,12584,976,8
27260,1224,12239,3153,50
27262,1171,11715,2910,67
27263,1328,13284,2972,49
27265,1216,12165,6098,68
27268,1994,19941,338,0
27278,843,8429,2302,23
27281,1000,10000,371,4
27282,1138,11382,1897,27
27283,1351,13514,404,5
27284,1315,13149,7408,101
27288,1232,12321,2920,64
27291,1138,11378,177,1
27292,1434,14345,5958,59
27295,1544,15442,6069,77
27298,1275,12749,1335,13
27299,1806,18062,949,10
27301,1484,14842,1489,22
27302,1187,11872,3849,26
27305,1287,12871,205,1
27306,1652,16518,985,21
27310,1020,10196,874,4
27311,1345,13447,436,5
27312,634,6341,1411,26
27313,1110,11100,810,26
27314,984,9842,112,1
27315,925,9252,198,1
27316,1372,13723,982,17
27317,1477,14767,2642,34
27320,1251,12511,4884,59
27325,1403,14031,1079,13
27326,1338,13380,495,2
27330,1498,14984,5952,65
27332,1330,13300,4471,37
27340,0,0,0,0
27341,1234,12337,721,4
27343,913,9130,168,0
27344,1357,13572,2622,37
27349,1403,14034,823,6
27350,1235,12347,933,11
27355,1054,10544,339,2
27356,1315,13151,465,8
27357,1461,14607,1219,21
27358,952,9524,1525,8
27360,1475,14750,7158,92
27370,1531,15306,2244,41
27371,1481,14811,1154,17
27376,1229,12293,1220,23
27377,1454,14536,1396,12
27379,1288,12878,783,25
27401,1271,12715,2581,32
27403,952,9522,2034,23
27405,1276,12758,6726,66
27406,1271,12707,7748,126
27407,1198,11977,5987,76
27408,954,9537,1663,9
27409,1162,11625,2092,20
27410,952,9518,5437,58
27411,2113,21133,179,0
27412,276,2757,52,0
27455,1113,11135,3259,71
27501,1385,13853,2970,29
27502,816,8158,3589,12
27503,415,4154,302,1
27504,1773,17727,2900,34
27505,1247,12466,915,16
27507,969,9693,200,3
27508,1547,15470,363,1
27509,2969,29690,2062,39
27510,723,7227,1054,8
27511,819,8190,2795,29
27513,676,6765,3326,25
27514,720,7197,2370,24
27516,669,6689,2956,17
27517,559,5595,1616,17
27518,718,7178,1634,19
27519,612,6124,3686,11
27520,1540,15399,6795,78
27521,1418,14184,1020,12
27522,1144,11442,1565,10
27523,882,8825,1130,2
27524,1596,15962,2168,32
27525,1503,15025,2355,5
27526,1155,11546,6265,67
27527,1382,13822,4192,17
27529,1364,13635,7368,82
27530,1141,11415,4600,91
27531,315,3153,21,0
27534,1201,12012,3830,89
27536,1507,15068,2494,50
27537,1327,13266,3371,41
27539,876,8755,2343,9
27540,1052,10523,4131,13
27541,1199,11993,488,3
27542,1323,13233,1333,20
27544,1233,12328,530,4
27545,1510,15095,4593,43
27546,1452,14521,3270,86
27549,1262,12619,3194,39
27551,744,7438,164,3
27553,2665,26650,541,1
27556,0,0,0,0
27557,1312,13121,1213,11
27559,672,6715,194,1
27560,766,7664,2588,15
27562,1247,12469,349,1
27563,966,9657,514,9
27565,1282,12822,3348,52
27569,1532,15316,1378,12
27571,1526,15261,1132,1
27572,850,8502,623,3
27573,1458,14584,1687,58
27574,1087,10865,1658,16
27576,1437,14368,2909,25
27577,1695,16951,4287,58
27581,1105,11047,438,2
27583,1252,12521,881,9
27587,1322,13217,9829,61
27589,1124,11237,939,11
27591,1559,15588,3675,31
27592,1282,12817,2233,11
27596,1395,13948,2626,7
27597,1693,16933,4346,27
27599,NA,NA,0,0
27601,1057,10569,1287,8
27603,1254,12540,6985,47
27604,1271,12709,6078,54
27605,1502,15020,792,19
27606,983,9825,4725,13
27607,911,9113,2772,13
27608,1093,10928,1275,3
27609,1100,10999,4265,29
27610,1638,16383,12194,97
27612,1040,10398,4093,40
27613,920,9202,4298,15
27614,996,9955,3764,23
27615,1007,10074,4659,50
27616,1430,14300,7930,38
27617,1062,10620,2079,3
27701,1075,10748,2854,18
27703,1184,11843,7287,34
27704,1364,13635,5377,40
27705,924,9239,4465,86
27707,1024,10239,4828,17
27708,1344,13441,623,0
27709,0,0,0,0
27710,NA,NA,0,0
27712,873,8728,1931,32
27713,819,8191,4436,31
27801,1367,13671,2955,29
27803,1277,12768,2860,34
27804,1456,14561,4257,96
27805,918,9180,347,4
27806,922,9218,226,4
27807,1735,17349,1209,14
27808,1060,10601,265,6
27809,1243,12429,655,11
27810,1174,11742,500,9
27812,1210,12098,358,2
27813,1572,15721,108,0
27814,977,9772,179,2
27816,1241,12415,329,4
27817,1322,13218,1038,11
27818,1143,11426,146,1
27820,869,8688,289,6
27821,0,0,0,0
27822,1482,14815,1353,20
27823,1371,13710,1073,11
27824,955,9545,147,0
27826,835,8353,104,2
27827,0,0,0,0
27828,1483,14827,1346,11
27829,1394,13942,263,1
27830,1040,10395,505,8
27831,1265,12653,455,7
27832,1456,14560,425,8
27834,1597,15973,9223,57
27837,1491,14909,975,4
27839,1048,10481,388,5
27840,1514,15140,81,3
27841,0,0,0,0
27842,689,6894,99,0
27843,1702,17019,164,2
27844,1382,13820,420,7
27845,936,9363,267,11
27846,1518,15184,468,6
27847,691,6909,74,0
27849,1025,10249,152,3
27850,846,8458,631,7
27851,1373,13727,770,10
27852,1144,11436,398,4
27853,0,0,0,0
27855,1042,10418,637,6
27856,1746,17461,3027,36
27857,1224,12242,196,8
27858,1512,15116,8829,23
27860,1358,13579,281,4
27862,741,7407,70,0
27863,1236,12360,1570,27
27864,1555,15550,754,8
27865,1633,16326,328,8
27866,1607,16071,109,2
27869,1689,16890,367,17
27870,1538,15383,4123,71
27871,1288,12875,579,11
27872,0,0,0,0
27874,1192,11918,569,12
27875,1409,14090,72,2
27876,1186,11860,155,4
27880,1622,16220,533,1
27881,0,0,0,0
27882,1528,15277,1218,15
27883,1126,11259,492,10
