Zip Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1241,12406,1852,14
27007,1358,13577,291,2
27009,1379,13790,406,4
27011,1453,14526,790,7
27012,1312,13121,3809,57
27013,1518,15181,989,12
27014,1599,15987,153,5
27016,1504,15042,257,4
27017,1638,16381,1561,20
27018,1226,12261,1010,10
27019,1134,11337,483,1
27020,1632,16317,998,10
27021,1347,13466,2428,53
27022,939,9392,143,3
27023,1104,11037,1413,6
27024,1536,15356,412,4
27025,1220,12198,1363,32
27027,1140,11402,459,19
27028,1413,14134,3988,45
27030,1574,15743,5952,131
27040,1078,10776,1421,13
27041,1352,13516,1092,9
27042,1222,12222,89,2
27043,1206,12061,782,9
27045,1418,14181,1363,12
27046,1091,10906,215,2
27047,1267,12666,162,2
27048,1111,11110,993,12
27050,1214,12145,497,6
27051,1259,12586,1047,8
27052,1327,13269,1337,27
27053,976,9759,311,4
27054,1706,17063,449,5
27055,1564,15639,2279,32
27101,1027,10271,2502,48
27103,1150,11497,4164,47
27104,1118,11177,3292,41
27105,1384,13838,5581,52
27106,1099,10993,5671,65
27107,1324,13240,6962,61
27127,1378,13776,5320,29
27157,0,0,0,0
27203,1590,15899,3490,60
27205,1436,14356,4984,55
27207,1174,11745,447,2
27208,1360,13601,231,3
27209,2067,20670,863,42
27212,2575,25750,413,1
27214,1249,12488,1471,16
27215,1377,13771,6210,79
27217,1711,17108,6720,108
27229,1704,17040,685,18
27231,737,7373,153,0
27233,1217,12174,446,4
27235,1248,12481,573,13
27239,1363,13626,1314,20
27242,1064,10645,285,5
27243,877,8767,412,4
27244,1737,17369,2832,27
27248,1257,12575,610,6
27249,1258,12580,1688,19
27252,804,8039,182,2
27253,1542,15418,4870,58
27258,1217,12171,949,8
27260,1198,11982,3092,49
27262,1147,11472,2853,66
27263,1296,12957,2908,46
27265,1189,11887,5973,65
27268,1988,19882,337,0
27278,829,8289,2260,23
27281,981,9811,365,4
27282,1110,11104,1851,27
27283,1325,13246,396,5
27284,1285,12852,7249,98
27288,1198,11978,2837,64
27291,1125,11248,173,0
27292,1415,14149,5879,53
27295,1514,15144,5957,74
27298,1238,12375,1298,13
27299,1774,17739,935,9
27301,1441,14413,1450,22
27302,1165,11646,3779,23
27305,1293,12934,205,1
27306,1633,16333,972,21
27310,1002,10021,861,4
27311,1314,13137,425,4
27312,623,6233,1387,26
27313,1089,10895,797,26
27314,931,9315,107,1
27315,897,8972,194,0
27316,1358,13583,973,16
27317,1441,14408,2582,32
27320,1216,12159,4753,59
27325,1386,13861,1065,13
27326,1287,12866,478,2
27330,1473,14726,5834,65
27332,1306,13061,4395,34
27340,0,0,0,0
27341,1198,11976,699,4
27343,891,8913,164,0
27344,1343,13432,2596,37
27349,1381,13812,809,6
27350,1199,11987,904,11
27355,1033,10325,330,2
27356,1258,12582,446,8
27357,1433,14330,1196,21
27358,926,9261,1487,8
27360,1449,14486,7026,86
27370,1497,14971,2199,38
27371,1468,14682,1143,16
27376,1203,12030,1193,22
27377,1422,14223,1371,12
27379,1248,12481,763,25
27401,1245,12452,2523,31
27403,930,9296,1989,23
27405,1251,12508,6596,65
27406,1234,12345,7543,124
27407,1174,11740,5871,76
27408,937,9370,1638,8
27409,1134,11341,2046,20
27410,930,9298,5318,56
