ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1252,12520,1862,14
27865,1613,16126,323,8
28119,1348,13481,409,9
27021,1357,13571,2440,53
28621,1681,16808,1748,39
27846,1492,14923,458,6
27962,1235,12354,919,22
28768,1039,10386,820,3
27539,872,8721,2317,9
27596,1393,13932,2599,7
27712,866,8656,1909,32
28739,944,9443,2077,27
28786,1079,10789,2356,51
28561,NA,NA,0,0
27009,1382,13824,406,5
28772,1200,11998,233,2
28023,1789,17894,2656,32
27875,1409,14090,72,2
28601,1733,17331,8639,124
28262,1439,14388,6285,49
27292,1423,14234,5902,56
27242,1068,10682,285,5
28054,1665,16651,6691,108
27850,842,8418,624,7
28073,1654,16536,927,14
28629,0,0,0,0
27840,1477,14766,79,3
28574,1583,15829,2802,30
28472,1579,15793,3159,78
28785,870,8701,723,5
27969,NA,NA,0,0
28318,1487,14872,681,6
28523,1513,15128,344,3
27604,1268,12683,6043,53
28173,1269,12685,8098,37
27883,1108,11075,483,10
27612,1036,10358,4061,40
28501,1363,13626,2658,48
27941,1000,10000,67,0
28562,1289,12886,4898,55
28658,1830,18296,4731,56
27262,1162,11622,2878,67
27544,1214,12142,521,4
28347,1391,13910,254,1
28801,791,7907,1327,26
28572,1693,16931,1080,13
27403,942,9418,2004,23
28395,1411,14114,375,3
27332,1320,13205,4430,34
27513,671,6710,3288,25
27932,1530,15304,1935,36
27343,902,9022,166,0
27886,1403,14031,3030,76
28391,1318,13181,702,10
27411,2113,21133,179,0
28429,1269,12690,1084,12
28420,1228,12275,628,12
28518,1612,16120,1419,22
28630,1552,15519,3161,44
28716,1120,11196,2088,52
28146,1665,16655,5060,73
28751,1091,10915,408,10
28128,1469,14695,1190,17
28672,0,0,0,0
28722,1080,10797,740,13
28439,1673,16732,257,10
27842,682,6825,98,0
28649,1344,13443,139,1
27042,1236,12361,89,2
28215,1602,16018,9652,76
27821,0,0,0,0
27806,909,9095,222,4
27408,947,9468,1648,9
27409,1150,11502,2065,20
28587,0,0,0,0
27808,1052,10520,261,6
27881,0,0,0,0
28403,1305,13046,5472,31
27104,1125,11248,3305,41
27013,1527,15273,992,12
28611,1094,10941,107,0
28269,1320,13197,10751,65
27050,1219,12194,498,6
28444,1378,13784,314,1
28673,1293,12929,856,6
27810,1172,11719,495,9
27157,0,0,0,0
28366,1863,18630,960,14
27509,2985,29849,2070,39
27239,1370,13698,1319,20
28544,1216,12163,682,9
27964,505,5054,33,0
28409,1067,10671,3732,30
27278,837,8366,2274,23
27979,689,6895,125,0
28217,1405,14047,4337,24
28369,1664,16644,373,8
28735,0,0,0,0
27330,1483,14835,5864,65
28043,1665,16654,3576,109
28638,1565,15653,1966,9
27516,662,6616,2919,17
27608,1095,10945,1270,3
28328,1665,16652,4488,62
27047,1274,12744,163,2
27537,1310,13104,3318,41
27401,1255,12546,2537,31
27040,1086,10859,1428,13
28078,1283,12833,8480,67
27541,1184,11845,479,3
27966,645,6449,95,0
27017,1656,16560,1573,20
27360,1462,14624,7068,89
28086,1855,18553,5007,77
28203,1567,15669,2988,6
28622,1122,11221,296,1
27849,1011,10115,150,3
28449,633,6333,124,1
27601,1054,10536,1279,8
28340,1630,16297,1750,42
28462,1062,10623,1520,21
27020,1642,16415,1002,11
28213,1626,16256,7370,56
28508,1300,13003,388,7
28311,1192,11918,4296,38
28124,1535,15353,1077,11
28677,1600,16002,5699,73
27869,1661,16613,360,17
27405,1265,12653,6644,65
27214,1258,12582,1478,16
27927,1011,10114,62,0
28428,1057,10571,755,3
27407,1185,11847,5904,76
28344,1618,16177,617,7
27379,1275,12746,772,25
27974,785,7855,108,0
27350,1224,12240,919,11
28360,1839,18389,2748,40
28390,1129,11288,2652,22
27518,716,7165,1631,19
27814,966,9661,174,2
28430,1606,16058,330,6
27935,854,8542,143,3
27965,851,8511,52,0
28326,1271,12707,2844,15
28305,1236,12355,619,7
28423,1418,14179,324,3
28581,0,0,0,0
27813,1572,15721,108,0
28773,1169,11688,410,10
28090,1404,14037,1194,21
27981,1052,10521,196,1
28031,1256,12561,3900,28
28733,0,0,0,0
28478,1379,13786,686,7
27288,1214,12139,2863,64
28080,1531,15312,1249,6
28729,1397,13969,416,2
27713,815,8145,4398,31
28726,1467,14668,510,6
27953,1240,12399,123,0
28392,1718,17181,267,5
28543,727,7268,481,2
27291,1131,11313,174,0
28657,1239,12393,1191,21
28465,812,8123,673,8
28578,1051,10505,740,10
28681,1595,15954,4301,82
28752,1774,17739,5588,73
27704,1357,13572,5343,39
28618,907,9073,225,2
27710,NA,NA,0,0
28168,1729,17294,1805,20
28774,803,8031,126,3
27522,1141,11412,1558,10
28682,1401,14013,154,2
28625,1518,15177,5898,111
27007,1376,13764,294,2
27282,1124,11237,1865,27
27855,1014,10139,619,6
27412,276,2757,52,0
