ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1228,12285,1827,14
27865,1593,15926,319,8
28119,1328,13283,403,9
27021,1343,13432,2415,53
28621,1643,16433,1709,39
27846,1460,14598,448,5
28768,1009,10095,797,3
27962,1206,12058,897,21
27539,858,8582,2280,8
27596,1375,13750,2565,7
27712,855,8547,1885,32
28739,931,9312,2048,26
28786,1047,10473,2287,50
28561,NA,NA,0,0
27009,1365,13653,401,4
28772,1174,11740,228,1
28023,1770,17699,2627,31
27875,1409,14090,72,2
28601,1709,17090,8519,120
28262,1427,14269,6233,49
27292,1405,14053,5827,52
27242,1064,10645,284,5
28054,1639,16390,6586,104
27850,824,8242,611,7
28073,1623,16233,910,13
28629,0,0,0,0
27840,1477,14766,79,3
28574,1543,15428,2731,28
28472,1565,15648,3130,77
28785,848,8485,705,5
27969,NA,NA,0,0
28318,1461,14610,669,6
28523,1491,14908,339,3
27604,1253,12532,5971,53
28173,1250,12497,7978,35
27883,1096,10961,478,6
27612,1015,10148,3979,40
28501,1332,13318,2598,47
28562,1271,12713,4832,54
27941,970,9701,65,0
28658,1806,18056,4669,55
27262,1136,11363,2814,66
27544,1198,11979,514,4
28347,1386,13855,253,1
28801,767,7669,1287,26
28572,1670,16695,1065,13
27403,922,9221,1962,23
28395,1381,13813,367,3
27332,1297,12966,4350,34
27513,662,6616,3242,25
27932,1509,15090,1908,35
27343,886,8859,163,0
27886,1373,13725,2964,75
28391,1281,12805,682,10
27411,2113,21133,179,0
28420,1198,11982,613,12
28429,1254,12538,1071,12
28518,1593,15926,1402,21
28630,1537,15371,3131,30
28716,1100,10997,2051,50
28146,1649,16487,5009,71
28751,1065,10647,398,9
28128,1449,14485,1173,17
28672,0,0,0,0
28722,1072,10724,735,13
28439,1647,16471,253,10
27842,662,6616,95,0
28649,1335,13346,138,1
27042,1222,12222,88,2
28215,1581,15814,9529,75
27408,932,9324,1623,8
27821,0,0,0,0
27806,889,8890,217,4
27409,1121,11207,2012,20
28587,0,0,0,0
27808,1028,10278,255,6
27881,0,0,0,0
28403,1293,12931,5424,30
27104,1113,11132,3271,41
27013,1507,15073,979,12
28611,1074,10736,105,0
28269,1302,13023,10609,65
27050,1205,12047,492,5
28444,1365,13652,311,1
28673,1269,12687,840,6
27810,1155,11553,488,9
27157,0,0,0,0
27509,2934,29344,2035,39
28366,1838,18378,947,13
27239,1357,13574,1307,19
28544,1204,12039,675,9
27964,490,4900,32,0
28409,1054,10536,3685,29
27278,824,8237,2239,23
27979,673,6729,122,0
28217,1391,13908,4294,24
28369,1664,16644,373,8
28735,0,0,0,0
28043,1619,16189,3476,105
27330,1465,14650,5791,64
28638,1544,15438,1939,7
27516,651,6512,2873,17
27608,1077,10773,1250,3
28328,1647,16474,4440,62
27047,1259,12588,161,2
27537,1290,12898,3266,41
27401,1236,12358,2499,31
27040,1071,10715,1409,13
28078,1265,12653,8361,66
27541,1155,11548,467,2
27966,631,6314,93,0
27017,1634,16339,1552,20
28086,1819,18193,4910,76
27360,1438,14378,6949,83
28203,1549,15490,2954,6
28622,1103,11031,291,1
27849,984,9845,146,3
28449,628,6282,123,1
27601,1036,10355,1257,8
28340,1618,16176,1737,40
27020,1612,16121,984,10
28462,1046,10462,1497,20
28213,1603,16033,7269,56
28508,1287,12869,384,7
28311,1168,11682,4211,36
28124,1500,14996,1052,10
28677,1574,15744,5607,70
27869,1638,16382,355,17
27405,1241,12407,6515,65
27214,1239,12386,1455,16
27927,1011,10114,62,0
28428,1040,10403,743,3
27407,1167,11674,5818,76
28344,1610,16099,614,7
27379,1232,12316,746,25
27974,778,7782,107,0
27350,1180,11801,886,10
28360,1825,18255,2728,38
28390,1097,10969,2577,20
27518,705,7055,1606,19
27814,955,9550,172,2
28430,1591,15912,327,5
27935,842,8423,141,3
28326,1241,12407,2777,14
27965,851,8511,52,0
28305,1212,12116,607,7
28423,1418,14179,324,3
28581,0,0,0,0
27813,1557,15575,107,0
28773,1152,11517,404,10
28090,1374,13743,1169,20
27981,1041,10413,194,1
28031,1238,12380,3844,29
28733,0,0,0,0
28478,1361,13605,677,7
27288,1187,11872,2800,64
28080,1493,14932,1218,6
28729,1373,13734,409,2
27713,805,8045,4344,30
28726,1441,14409,501,6
27953,1240,12399,123,0
28392,1699,16988,264,5
28543,700,6996,463,2
27291,1125,11248,173,0
28657,1208,12081,1161,21
28465,788,7882,653,7
28578,1028,10278,724,9
28681,1571,15709,4235,82
28752,1725,17253,5435,72
27704,1336,13363,5261,38
27710,NA,NA,0,0
28618,895,8952,222,2
28168,1698,16978,1772,20
28774,797,7967,125,3
27522,1135,11346,1549,10
28682,1383,13831,152,2
28625,1498,14976,5820,105
27007,1353,13530,289,1
27282,1103,11026,1830,27
27855,991,9910,605,6
27412,270,2704,51,0
28678,1409,14090,740,7
27244,1724,17240,2803,27
28399,1489,14891,288,3
27872,0,0,0,0
27589,1098,10984,913,11
27909,1108,11082,4539,95
27834,1569,15687,9021,57
27616,1417,14169,7830,34
28125,1445,14452,384,3
27045,1413,14129,1354,11
28150,1631,16313,4779,104
27302,1155,11547,3730,23
27534,1176,11757,3741,89
27917,1236,12362,134,6
27559,647,6472,186,1
27248,1239,12389,599,6
27807,1692,16916,1174,13
27048,1103,11031,982,12
28783,919,9186,175,3
27603,1231,12309,6829,45
28211,1092,10917,3412,73
28356,1457,14571,716,7
28590,1566,15664,4159,21
28804,777,7768,1810,24
28351,1325,13247,698,6
28479,1602,16024,781,12
28577,538,5378,32,0
28104,1294,12935,4200,18
28323,1273,12735,583,2
27938,1119,11189,160,7
28708,515,5149,69,1
27837,1476,14756,960,4
27317,1427,14268,2547,32
28071,1551,15510,496,4
28746,976,9756,252,5
27215,1362,13617,6113,79
28573,1244,12444,308,17
28081,1543,15427,4358,51
27801,1326,13263,2859,28
28350,0,0,0,0
28644,949,9490,149,0
27976,949,9492,338,1
28115,1421,14209,5902,52
28101,0,0,0,0
27229,1697,16966,681,18
28701,932,9317,450,4
28466,1591,15913,1651,41
28646,0,0,0,0
28384,1756,17561,2180,28
28163,1414,14138,822,3
27959,1224,12240,300,1
28152,1573,15730,4102,60
28040,1400,14002,1158,17
28643,1011,10107,348,5
27556,0,0,0,0
27101,1019,10193,2479,45
27253,1528,15281,4808,58
28467,1075,10752,1225,20
28107,1699,16991,1395,11
27573,1417,14168,1638,58
27803,1241,12410,2772,33
28692,773,7726,348,1
28580,1356,13557,1631,39
28546,1278,12782,6642,62
28167,1365,13648,330,5
28039,0,0,0,0
27866,1592,15923,107,2
28098,1574,15736,631,4
28679,749,7493,159,2
28166,1539,15393,1519,25
27283,1318,13179,393,5
28571,653,6535,205,3
28016,1535,15352,2230,35
27892,1495,14948,2147,34
27982,NA,NA,0,0
27937,802,8018,341,5
28117,1345,13445,6401,23
28202,1705,17046,2856,3
28170,1421,14215,1776,45
28637,2748,27479,435,5
28204,1598,15976,1396,7
28608,NA,NA,0,0
28515,1245,12446,431,3
28021,1655,16545,2223,44
28623,1288,12879,221,0
27617,1043,10430,2035,3
27888,1291,12915,362,2
28612,1423,14229,2121,44
28665,1216,12157,363,4
28032,1610,16097,523,2
28075,1403,14035,2691,18
28306,1263,12628,5375,51
28791,1040,10398,1644,33
28270,976,9763,3393,31
28421,922,9216,188,4
27551,730,7302,161,3
28602,1599,15994,4993,93
27587,1304,13044,9664,60
28904,1284,12837,1224,30
28524,0,0,0,0
28033,1728,17281,581,4
27310,990,9904,848,4
28314,1276,12762,6846,53
28301,1395,13953,2472,75
28675,1392,13916,947,5
27030,1553,15534,5847,131
27521,1383,13834,989,12
27805,902,9021,340,4
27536,1459,14594,2402,47
27939,825,8249,278,5
27896,1490,14902,3161,39
27340,0,0,0,0
28690,1526,15265,1439,17
28711,772,7725,1178,34
27514,696,6956,2285,24
27027,1130,11302,454,19
28787,1087,10875,2249,37
27851,1317,13172,737,10
27822,1451,14508,1323,19
27525,1456,14562,2262,5
28659,1547,15467,3250,61
28709,901,9012,208,2
28006,1778,17782,202,2
27824,929,9286,143,0
28357,1210,12097,390,4
27243,862,8617,402,4
28139,1520,15198,3060,106
