ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1261,12614,1876,15
27865,1613,16126,323,8
28119,1361,13612,413,9
27021,1359,13594,2444,53
28621,1690,16904,1758,39
27846,1509,15086,463,6
28768,1045,10450,825,3
27962,1249,12488,929,22
27539,874,8740,2322,9
27596,1394,13943,2601,7
27712,871,8710,1921,32
28739,948,9484,2086,28
28786,1086,10858,2371,51
28561,NA,NA,0,0
27009,1396,13960,410,5
28772,1205,12049,234,2
28023,1798,17982,2669,33
27875,1409,14090,72,2
28601,1746,17457,8702,125
28262,1447,14470,6321,49
27292,1430,14301,5930,58
27242,1076,10757,287,5
28054,1676,16755,6733,109
27850,842,8418,624,7
28073,1666,16661,934,14
28629,0,0,0,0
27840,1495,14953,80,3
28574,1598,15981,2829,31
28472,1580,15803,3161,78
28785,879,8786,730,5
27969,NA,NA,0,0
28318,1500,15003,687,6
28523,1526,15259,347,3
27604,1270,12700,6051,53
28173,1276,12756,8143,37
27883,1119,11190,488,10
27612,1038,10383,4071,40
28501,1370,13703,2673,48
28562,1296,12957,4925,55
27941,1015,10149,68,0
28658,1840,18397,4757,58
27262,1169,11690,2895,67
27544,1230,12305,528,4
28347,1391,13910,254,1
28801,800,7997,1342,26
28572,1706,17056,1088,13
27403,951,9512,2024,23
28395,1415,14151,376,3
27332,1327,13270,4452,36
27513,675,6753,3309,25
27932,1530,15304,1935,36
27343,913,9130,168,0
27886,1406,14063,3037,76
28391,1327,13275,707,10
27411,2113,21133,179,0
28429,1276,12760,1090,12
28420,1233,12334,631,12
28518,1622,16222,1428,22
28630,1557,15568,3171,56
28716,1125,11249,2098,52
28146,1672,16724,5081,75
28751,1105,11049,413,10
28128,1476,14757,1195,17
28672,0,0,0,0
28722,1084,10840,743,13
28439,1673,16732,257,10
27842,689,6894,99,0
28649,1344,13443,139,1
27042,1250,12500,90,2
28215,1609,16088,9694,77
27806,918,9177,224,4
27408,951,9508,1655,9
27821,0,0,0,0
27409,1159,11591,2081,20
28587,0,0,0,0
27808,1060,10601,263,6
27881,0,0,0,0
28403,1309,13086,5489,31
27104,1128,11282,3315,42
27013,1537,15366,998,12
28611,1094,10941,107,1
28269,1324,13240,10786,68
27050,1224,12243,500,6
28444,1392,13916,317,1
28673,1302,13019,862,7
27810,1174,11742,496,9
27157,0,0,0,0
27509,2988,29877,2072,39
28366,1867,18669,962,14
27239,1377,13771,1326,20
28544,1227,12270,688,9
27964,505,5054,33,0
28409,1074,10737,3755,30
27278,840,8396,2282,23
27979,700,7005,127,0
28217,1409,14092,4351,24
28369,1673,16734,375,8
28735,0,0,0,0
28043,1669,16687,3583,109
27330,1493,14933,5903,65
28638,1570,15701,1972,14
27516,666,6655,2936,17
27608,1095,10945,1270,3
28328,1675,16753,4515,62
27047,1298,12979,166,2
27537,1323,13226,3349,41
27401,1267,12670,2562,32
27040,1092,10920,1436,13
28078,1290,12898,8523,69
27541,1194,11944,483,3
27966,645,6449,95,0
27017,1662,16623,1579,21
28086,1864,18638,5030,77
27360,1470,14701,7105,92
28203,1568,15679,2990,6
28622,1130,11296,298,1
27849,1018,10182,151,3
28449,649,6486,127,1
27601,1054,10545,1280,8
28340,1636,16362,1757,43
27020,1650,16497,1007,11
28462,1074,10741,1537,21
28213,1632,16317,7398,57
28508,1320,13204,394,7
28311,1203,12032,4337,38
28124,1547,15467,1085,11
28677,1610,16103,5735,73
27869,1671,16705,362,17
27405,1272,12721,6680,66
27214,1270,12701,1492,16
27927,1011,10114,62,0
28428,1063,10627,759,3
27407,1193,11931,5946,76
28344,1623,16230,619,7
27379,1284,12845,778,25
27974,793,7927,109,0
27350,1231,12307,924,11
28360,1847,18469,2760,40
28390,1138,11382,2674,22
27518,717,7169,1632,19
27814,977,9772,176,2
28430,1606,16058,330,6
27935,860,8602,144,3
28326,1281,12814,2868,16
27965,851,8511,52,0
28305,1244,12435,623,7
28423,1422,14223,325,3
28581,0,0,0,0
27813,1572,15721,108,0
28773,1174,11745,412,10
28090,1415,14155,1204,21
27981,1052,10521,196,1
28031,1260,12596,3911,28
28733,0,0,0,0
28478,1385,13846,689,7
27288,1222,12224,2883,64
28080,1540,15398,1256,6
28729,1407,14070,419,2
27713,817,8171,4412,31
28726,1470,14697,511,6
27953,1240,12399,123,0
28392,1718,17181,267,5
28543,746,7464,494,2
27291,1131,11313,174,1
28657,1243,12435,1195,21
28465,817,8171,677,8
28578,1056,10562,744,10
28681,1604,16035,4323,82
28752,1788,17876,5631,75
27704,1361,13607,5357,39
27710,NA,NA,0,0
28618,911,9113,226,2
28168,1740,17400,1816,20
28774,803,8031,126,3
27522,1143,11427,1560,10
28682,1401,14013,154,2
28625,1525,15249,5926,112
27007,1386,13858,296,2
27282,1135,11351,1884,27
27855,1029,10287,628,6
27412,276,2757,52,0
28678,1457,14566,765,7
27244,1757,17572,2857,29
28399,1556,15564,301,3
27872,0,0,0,0
27589,1118,11177,929,11
27909,1148,11475,4700,98
27834,1596,15962,9179,57
27616,1430,14296,7900,37
28125,1472,14716,391,4
28150,1671,16705,4894,104
27045,1440,14401,1380,12
27302,1184,11844,3826,26
27534,1200,11999,3818,89
27917,1245,12454,135,6
27559,672,6715,193,1
27248,1282,12823,620,6
27807,1736,17363,1205,14
27048,1136,11357,1011,12
28783,929,9291,177,3
27603,1253,12529,6951,45
28211,1117,11167,3490,73
28356,1508,15079,741,7
28590,1594,15935,4231,21
28351,1359,13589,716,7
28804,804,8038,1873,24
28479,1631,16311,795,13
28577,555,5546,33,0
27938,1182,11818,169,7
28104,1325,13246,4301,18
28323,1306,13062,598,2
28708,522,5224,70,1
27837,1486,14863,967,4
27317,1471,14711,2626,34
28071,1579,15791,505,5
28746,999,9988,258,5
27215,1404,14045,6305,81
28573,1269,12687,314,17
28081,1570,15703,4436,53
27801,1362,13625,2937,29
28350,0,0,0,0
28644,1000,10000,157,0
27976,997,9969,355,1
28115,1446,14462,6007,53
28101,0,0,0,0
27229,1721,17215,691,18
28701,979,9793,473,4
28466,1634,16337,1695,42
28646,0,0,0,0
28384,1777,17770,2206,29
28163,1455,14551,846,4
27959,1236,12362,303,1
28152,1615,16148,4211,63
28040,1463,14631,1210,18
28643,1040,10398,358,5
27101,1039,10386,2526,48
27556,0,0,0,0
27253,1569,15691,4937,61
28467,1102,11016,1255,20
28107,1724,17235,1415,11
27573,1452,14523,1679,58
27803,1273,12728,2843,34
28692,790,7904,356,1
28580,1384,13839,1665,39
