ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1225,12251,1822,14
27865,1583,15826,317,7
28119,1318,13184,400,9
27021,1342,13416,2412,53
28621,1640,16404,1706,39
27846,1457,14565,447,5
27962,1203,12031,895,21
28768,1006,10057,794,3
27539,856,8559,2274,8
27596,1368,13680,2552,7
27712,853,8533,1882,32
28739,928,9280,2041,26
28786,1041,10414,2274,49
28561,NA,NA,0,0
27009,1362,13619,400,4
28772,1164,11637,226,1
28023,1765,17651,2620,31
27875,1409,14090,72,2
28601,1707,17072,8510,116
28262,1425,14246,6223,49
27292,1401,14007,5808,52
27242,1057,10570,282,5
28054,1632,16325,6560,102
27850,822,8215,609,7
28073,1607,16072,901,13
28629,0,0,0,0
27840,1477,14766,79,3
28574,1533,15332,2714,28
28472,1557,15573,3115,76
28785,842,8425,700,5
27969,NA,NA,0,0
28318,1461,14610,669,6
28523,1482,14820,337,3
27604,1250,12505,5958,53
28173,1244,12441,7942,35
27883,1094,10938,477,6
27612,1010,10103,3961,40
28501,1328,13277,2590,47
27941,970,9701,65,0
28562,1265,12647,4807,54
28658,1803,18029,4662,53
27262,1135,11351,2811,66
27544,1191,11909,511,4
28347,1386,13855,253,1
28801,763,7633,1281,26
28572,1663,16633,1061,13
27403,920,9202,1958,23
28395,1381,13813,367,3
27332,1288,12877,4320,33
27513,659,6591,3230,25
27932,1507,15066,1905,35
27343,886,8859,163,0
27886,1369,13688,2956,75
28391,1275,12749,679,10
27411,2113,21133,179,0
28429,1250,12503,1068,12
28420,1188,11884,608,12
28518,1585,15847,1395,20
28630,1532,15317,3120,30
28716,1094,10944,2041,49
28146,1645,16451,4998,68
28751,1062,10621,397,9
28128,1441,14411,1167,17
28672,0,0,0,0
28722,1067,10665,731,13
27842,655,6546,94,0
28439,1641,16406,252,10
28649,1306,13056,135,1
27042,1222,12222,88,2
28215,1578,15781,9509,73
27408,930,9301,1619,8
27806,889,8890,217,4
27821,0,0,0,0
27409,1117,11168,2005,20
28587,0,0,0,0
27808,1024,10238,254,6
27881,0,0,0,0
28403,1292,12922,5420,30
27104,1111,11105,3263,41
27013,1497,14965,972,12
28611,1063,10634,104,0
28269,1299,12995,10586,64
27050,1188,11876,485,5
28444,1365,13652,311,1
28673,1263,12626,836,6
27810,1153,11529,487,9
27157,0,0,0,0
28366,1820,18203,938,13
27509,2936,29358,2036,39
27239,1354,13542,1304,19
28544,1193,11932,669,8
27964,490,4900,32,0
28409,1049,10488,3668,29
27278,820,8204,2230,23
27979,662,6619,120,0
28217,1388,13879,4285,24
28369,1664,16644,373,7
28735,0,0,0,0
