ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1251,12507,1860,14
27865,1608,16076,322,8
28119,1345,13448,408,9
27021,1355,13549,2436,53
28621,1673,16731,1740,39
27846,1496,14956,459,5
27962,1233,12327,917,22
28768,1035,10348,817,3
27539,871,8714,2315,9
27596,1389,13894,2592,7
27712,865,8647,1907,32
28739,942,9421,2072,27
28786,1075,10748,2347,51
28561,NA,NA,0,0
27009,1382,13824,406,5
28772,1200,11998,233,2
28023,1788,17880,2654,32
27875,1409,14090,72,2
28601,1729,17295,8621,122
28262,1436,14365,6275,49
27292,1421,14212,5893,54
27242,1068,10682,285,5
28054,1660,16596,6669,107
27850,842,8418,624,7
28073,1648,16482,924,14
28629,0,0,0,0
27840,1477,14766,79,3
28574,1580,15800,2797,28
28472,1579,15788,3158,77
28785,868,8677,721,5
27969,NA,NA,0,0
28318,1481,14807,678,6
28523,1513,15128,344,3
27604,1267,12671,6037,53
28173,1266,12657,8080,37
27883,1108,11075,483,10
27612,1034,10342,4055,40
28501,1357,13575,2648,48
27941,985,9851,66,0
28562,1287,12873,4893,55
28658,1828,18277,4726,56
27262,1159,11585,2869,67
27544,1216,12165,522,4
28347,1386,13855,253,1
28801,790,7895,1325,26
28572,1691,16915,1079,13
28395,1411,14114,375,3
27403,941,9409,2002,23
27332,1315,13148,4411,34
27513,669,6685,3276,25
27932,1530,15304,1935,36
27343,897,8967,165,0
27886,1399,13994,3022,75
28391,1316,13162,701,10
27411,2113,21133,179,0
28429,1266,12655,1081,12
28420,1228,12275,628,12
28518,1609,16085,1416,21
28630,1548,15484,3154,29
28716,1116,11158,2081,52
28146,1664,16638,5055,73
28751,1078,10781,403,10
28128,1468,14683,1189,17
28672,0,0,0,0
28722,1078,10782,739,13
28439,1673,16732,257,10
27842,675,6755,97,0
28649,1344,13443,139,1
27042,1236,12361,89,2
28215,1599,15993,9637,76
27821,0,0,0,0
27806,905,9054,221,4
27408,946,9457,1646,9
27409,1146,11463,2058,20
28587,0,0,0,0
27808,1048,10480,260,6
27881,0,0,0,0
28403,1304,13043,5471,30
27013,1527,15273,992,12
27104,1124,11238,3302,41
28611,1094,10941,107,0
28269,1317,13168,10727,65
27050,1217,12169,497,6
28444,1370,13696,312,1
28673,1288,12883,853,6
27810,1172,11719,495,9
27157,0,0,0,0
28366,1865,18649,961,14
27509,2982,29820,2068,39
27239,1368,13677,1317,20
28544,1216,12163,682,9
27964,505,5054,33,0
28409,1065,10651,3725,30
27278,835,8348,2269,23
27979,689,6895,125,0
28217,1401,14011,4326,24
28369,1664,16644,373,8
28735,0,0,0,0
27330,1480,14802,5851,65
28043,1663,16626,3570,107
28638,1564,15637,1964,7
27516,661,6607,2915,17
27608,1095,10945,1270,3
28328,1664,16641,4485,62
27047,1274,12744,163,2
27537,1309,13088,3314,41
27401,1251,12507,2529,31
27040,1083,10829,1424,13
28078,1280,12803,8460,67
27541,1184,11845,479,3
27966,645,6449,95,0
27017,1649,16486,1566,20
27360,1460,14601,7057,89
28086,1850,18505,4994,77
28203,1564,15637,2982,6
28622,1114,11145,294,1
27849,1011,10115,150,3
28449,633,6333,124,1
27601,1054,10545,1280,8
28340,1629,16288,1749,41
28462,1061,10609,1518,21
27020,1638,16383,1000,10
28508,1300,13003,388,7
28213,1622,16216,7352,56
28311,1189,11888,4285,38
28124,1527,15267,1071,11
28677,1597,15968,5687,73
27869,1661,16613,360,17
27405,1263,12630,6632,65
27214,1257,12573,1477,16
27927,1011,10114,62,0
28428,1057,10571,755,3
27407,1183,11833,5897,76
28344,1615,16151,616,7
27379,1275,12746,772,25
27974,785,7855,108,0
27350,1211,12107,909,11
28390,1125,11254,2644,22
28360,1840,18395,2749,40
27518,716,7160,1630,19
27814,966,9661,174,2
27935,854,8542,143,3
28430,1606,16058,330,6
28326,1268,12684,2839,15
27965,851,8511,52,0
28305,1236,12355,619,7
28423,1418,14179,324,3
28581,0,0,0,0
27813,1572,15721,108,0
28773,1169,11688,410,10
28090,1400,14002,1191,21
27981,1052,10521,196,1
28031,1254,12541,3894,29
28733,0,0,0,0
28478,1379,13786,686,7
28080,1521,15214,1241,6
27288,1209,12092,2852,64
28729,1397,13969,416,2
27713,814,8139,4395,31
28726,1464,14639,509,6
27953,1240,12399,123,0
28392,1705,17053,265,5
28543,725,7253,480,2
27291,1131,11313,174,0
28657,1236,12362,1188,21
28465,807,8075,669,7
28578,1049,10491,739,10
28681,1592,15920,4292,82
28752,1769,17695,5574,73
27704,1356,13559,5338,39
28618,903,9032,224,2
27710,NA,NA,0,0
28168,1728,17285,1804,20
28774,803,8031,126,3
27522,1140,11398,1556,10
28625,1514,15143,5885,111
28682,1401,14013,154,2
27007,1372,13717,293,2
27282,1121,11213,1861,27
27855,1012,10123,618,6
27412,276,2757,52,0
28678,1441,14414,757,7
27244,1749,17486,2843,27
28399,1525,15253,295,3
27872,0,0,0,0
27589,1114,11141,926,11
27909,1134,11343,4646,97
27834,1592,15919,9154,57
27616,1428,14283,7893,36
28125,1468,14678,390,3
28150,1654,16545,4847,104
27045,1428,14275,1368,12
27302,1176,11764,3800,23
27917,1245,12454,135,6
27534,1192,11917,3792,89
27559,668,6681,192,1
27248,1268,12678,613,6
27048,1119,11188,996,12
27807,1726,17262,1198,14
28783,919,9186,175,3
27603,1249,12488,6928,45
28211,1107,11074,3461,73
28356,1484,14835,729,7
28590,1589,15886,4218,21
28351,1355,13551,714,7
28804,792,7918,1845,24
28479,1623,16229,791,12
28577,555,5546,33,0
27938,1140,11399,163,7
28323,1298,12975,594,2
28104,1312,13117,4259,18
28708,522,5224,70,1
27837,1485,14848,966,4
27317,1454,14537,2595,33
28071,1570,15697,502,5
28746,991,9911,256,5
27215,1391,13911,6245,79
28573,1261,12606,312,17
27801,1354,13541,2919,29
28081,1564,15643,4419,53
28350,0,0,0,0
27976,980,9801,349,1
28115,1438,14380,5973,53
28644,975,9745,153,0
27229,1712,17115,687,18
28101,0,0,0,0
28701,959,9586,463,4
28466,1613,16125,1673,41
28646,0,0,0,0
28384,1771,17714,2199,29
28163,1445,14448,840,3
27959,1236,12362,303,1
28152,1602,16021,4178,60
28040,1446,14462,1196,18
28643,1040,10398,358,5
27556,0,0,0,0
27101,1031,10308,2507,48
27253,1555,15551,4893,58
28467,1090,10901,1242,20
28107,1714,17138,1407,11
27573,1448,14480,1674,58
27803,1261,12607,2816,34
28692,786,7860,354,1
28580,1376,13756,1655,39
28546,1304,13044,6778,63
28167,1402,14020,339,5
28039,0,0,0,0
27866,1622,16220,109,2
28098,1591,15910,638,4
28679,754,7540,160,2
28166,1571,15707,1550,25
27283,1335,13347,398,5
28571,657,6567,206,3
28016,1565,15648,2273,35
27892,1524,15241,2189,34
27982,NA,NA,0,0
27937,818,8182,348,6
28117,1360,13601,6475,23
28202,1715,17147,2873,3
28170,1445,14447,1805,45
28637,2805,28048,444,5
28204,1606,16056,1403,7
28608,NA,NA,0,0
28515,1282,12821,444,3
28021,1697,16969,2280,47
28623,1311,13112,225,0
27617,1054,10543,2057,3
27888,1306,13057,366,2
28612,1454,14544,2168,45
28665,1222,12224,365,4
28032,1637,16374,532,3
28075,1418,14175,2718,18
28306,1290,12903,5492,53
28791,1051,10512,1662,33
28270,985,9852,3424,31
27551,739,7392,163,3
28421,931,9314,190,4
28602,1620,16199,5057,95
27587,1320,13201,9780,60
28904,1321,13214,1260,31
28524,0,0,0,0
28033,1782,17817,599,4
27310,1010,10103,865,4
28314,1298,12981,6963,53
28301,1418,14184,2513,76
28675,1417,14166,964,5
27030,1590,15900,5985,131
27521,1402,14016,1002,12
27805,913,9127,344,4
27536,1490,14904,2453,47
27939,840,8398,283,5
27896,1508,15081,3199,40
27340,0,0,0,0
28690,1571,15710,1481,17
28711,793,7934,1210,34
27514,712,7118,2338,24
27027,1145,11451,460,19
27851,1332,13315,745,10
28787,1112,11121,2300,38
27525,1492,14916,2317,5
27822,1469,14695,1340,19
28659,1569,15686,3296,61
28709,919,9185,212,2
28006,1840,18398,209,2
27824,948,9481,146,0
28357,1222,12221,394,4
27243,890,8896,415,4
28139,1560,15600,3141,106
28387,1135,11354,1946,61
28452,2008,20078,103,2
28777,1723,17226,1790,18
28763,1009,10091,289,2
28742,1200,11997,340,4
27957,1043,10430,148,7
28756,1088,10881,519,4
28553,690,6897,36,1
28693,1270,12699,215,1
28223,88,884,26,0
27858,1505,15049,8754,23
28754,1209,12093,1067,26
28533,NA,NA,0,0
27827,0,0,0,0
27946,891,8907,97,0
28594,1109,11093,408,4
28624,1067,10671,202,4
27942,726,7265,68,1
27701,1071,10706,2836,17
28457,1232,12321,1582,16
28451,1237,12369,4848,39
28557,1151,11505,1755,11
28736,1014,10135,75,0
28454,1172,11722,416,5
28135,1206,12064,720,7
27268,1988,19882,337,0
28025,1533,15326,8479,92
27916,1516,15162,84,0
28775,0,0,0,0
27956,0,0,0,0
27826,827,8273,103,2
27508,1526,15256,357,1
28762,1461,14613,1111,12
28382,1289,12890,1032,17
28615,1030,10303,194,1
28552,0,0,0,0
28723,1098,10978,1282,3
27841,0,0,0,0
28719,2107,21066,1463,11
27260,1210,12095,3108,49
28209,1191,11906,3097,16
28645,1488,14878,7085,74
28583,NA,NA,0,0
28698,1057,10575,195,1
28805,733,7331,1495,28
27314,958,9578,109,1
28374,1041,10412,1892,52
28401,1250,12497,3026,60
27371,1471,14708,1144,16
28207,1102,11023,1076,6
28519,0,0,0,0
27313,1099,10991,801,26
28345,1557,15574,1971,39
27960,1279,12792,115,0
28001,1668,16682,4731,110
27344,1349,13494,2603,37
28579,664,6642,53,0
28088,2030,20301,621,1
27948,983,9834,1231,2
27571,1525,15247,1126,1
28654,1261,12605,479,8
28725,0,0,0,0
28464,1734,17342,432,7
28214,1698,16982,6998,45
28504,1638,16378,3442,53
28405,1218,12180,4107,35
28676,1431,14315,493,5
27305,1293,12934,205,1
27592,1272,12725,2210,11
28312,1343,13432,2474,44
28731,1306,13062,1211,16
27843,1691,16913,160,2
28766,1317,13172,201,1
27016,1552,15517,261,4
28480,1348,13482,369,0
28127,1922,19224,1467,14
27831,1263,12625,453,7
28425,1400,14004,1768,26
28341,1356,13563,689,5
28092,1727,17268,6916,61
28422,1049,10493,911,13
27829,1394,13942,261,1
28532,995,9951,2574,8
27258,1236,12364,957,8
28626,830,8297,249,1
27349,1383,13829,809,6
28586,1965,19651,1656,12
28349,1924,19241,761,17
27921,956,9560,513,7
27605,1494,14944,785,19
27054,1737,17370,453,5
28227,1466,14657,8401,70
27553,2655,26552,539,0
28650,1642,16420,2196,24
28458,1396,13964,980,16
28377,1711,17114,2231,38
28337,1416,14161,1689,31
28445,1522,15217,1239,18
28315,1438,14382,1917,23
28338,1228,12281,590,9
28609,1465,14651,946,12
28749,NA,NA,0,0
27880,1613,16128,529,1
27954,1174,11741,752,3
28782,866,8661,564,10
27563,951,9507,505,9
28278,1335,13353,4345,21
28512,938,9379,346,6
28526,1296,12961,309,5
27106,1109,11094,5700,65
28604,1042,10420,672,7
28771,1499,14990,1231,25
28129,1605,16050,968,10
28320,1628,16278,1527,32
27203,1602,16018,3504,60
27576,1424,14245,2877,23
28781,1014,10136,97,0
27577,1682,16824,4242,57
27517,556,5557,1602,17
28138,1523,15233,1776,34
28516,994,9942,1241,8
27864,1549,15488,747,8
28435,1180,11805,346,5
27606,976,9756,4677,13
28103,1552,15521,1761,31
27884,1398,13981,216,1
28469,1212,12124,907,19
28556,713,7130,82,1
28584,1158,11580,1495,15
28685,1295,12945,247,0
27212,2588,25875,414,1
27263,1312,13118,2928,46
28906,1383,13825,2806,43
28012,1629,16288,3954,37
27530,1132,11322,4553,89
28642,1472,14719,821,11
27889,1605,16048,4420,81
27958,979,9792,1181,10
27252,804,8039,182,2
27370,1513,15128,2212,39
28396,1299,12990,348,8
27316,1361,13611,974,16
28720,0,0,0,0
27852,1144,11436,395,3
28539,1171,11706,2107,20
28364,1682,16823,2552,41
28613,1648,16482,4156,67
27523,875,8747,1118,2
28789,896,8960,587,5
28212,1465,14645,6260,43
28208,1594,15942,6368,57
27406,1250,12503,7596,126
27524,1581,15814,2140,31
28018,1476,14757,877,28
27298,1251,12510,1306,13
27311,1326,13261,427,4
27103,1160,11605,4186,47
27816,1238,12377,326,4
27376,1212,12121,1198,23
28803,893,8929,3101,61
27817,1312,13116,1020,9
27709,0,0,0,0
27281,989,9892,367,4
27607,906,9064,2746,13
27857,1218,12180,195,8
28147,1917,19165,5022,104
27107,1333,13326,6987,61
28398,1674,16736,1284,25
27610,1633,16325,12114,96
27526,1152,11520,6224,65
28394,1136,11355,692,5
27980,1422,14217,295,6
28411,1104,11038,4285,38
27377,1437,14369,1379,12
28137,1304,13037,501,5
28732,1104,11043,2087,9
27053,995,9949,314,4
28607,1077,10771,4037,22
28555,1463,14632,688,4
28718,774,7743,47,0
27944,1058,10581,1294,12
28684,782,7816,170,1
28740,1211,12106,257,0
28670,1404,14043,447,6
28527,2177,21768,197,2
27306,1638,16384,974,21
28114,1358,13582,1227,16
28537,0,0,0,0
28741,1260,12600,395,6
28333,1403,14026,1502,30
28393,1597,15972,345,6
28702,483,4830,34,0
28640,1546,15463,743,19
27970,1213,12134,390,8
27249,1272,12722,1699,19
27860,1353,13531,279,4
