ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1278,12782,1901,15
27865,1648,16475,330,8
28119,1381,13810,419,9
27021,1374,13738,2470,54
28621,1702,17019,1770,39
27846,1535,15347,471,6
28768,1059,10589,836,3
27962,1262,12623,939,22
27539,890,8902,2365,10
27596,1424,14237,2656,7
27712,879,8787,1938,32
28739,957,9566,2104,28
28786,1106,11064,2416,51
28561,NA,NA,0,0
27009,1403,14028,412,5
28772,1210,12101,235,2
28023,1806,18056,2680,33
27875,1409,14090,72,2
28601,1761,17612,8779,126
28262,1454,14543,6353,49
27292,1440,14400,5971,61
27242,1094,10945,292,5
28054,1698,16984,6825,109
27850,858,8580,636,7
28629,0,0,0,0
28073,1705,17053,956,14
27840,1533,15327,82,3
28574,1615,16151,2859,33
28472,1588,15883,3177,79
28785,889,8894,739,5
27969,NA,NA,0,0
28318,1507,15069,690,6
28523,1539,15391,350,3
27604,1282,12818,6107,54
28173,1285,12853,8205,40
27883,1133,11328,494,10
27612,1049,10490,4113,40
28501,1381,13810,2694,48
28562,1307,13071,4968,55
27941,1045,10448,70,0
28658,1853,18528,4791,58
27262,1180,11795,2921,67
27544,1240,12398,532,4
28347,1391,13910,254,1
28801,810,8098,1359,27
28572,1724,17244,1100,13
27403,961,9611,2045,23
28395,1434,14339,381,3
27332,1336,13360,4482,37
27513,682,6816,3340,25
27932,1550,15501,1960,36
27343,918,9185,169,0
27886,1423,14230,3073,76
28391,1341,13406,714,10
27411,2125,21251,180,0
28429,1289,12889,1101,12
28420,1249,12490,639,12
28518,1627,16267,1432,23
28630,1567,15671,3192,56
28716,1137,11373,2121,52
28146,1687,16865,5124,75
28751,1110,11102,415,10
28128,1486,14856,1203,17
28672,0,0,0,0
28722,1090,10899,747,13
28439,1673,16732,257,11
27842,689,6894,99,0
28649,1344,13443,139,1
27042,1250,12500,90,2
28215,1620,16204,9764,77
27821,0,0,0,0
27806,930,9299,227,4
27408,957,9571,1666,9
27409,1169,11686,2098,20
28587,0,0,0,0
27808,1080,10802,268,6
27881,0,0,0,0
28403,1314,13141,5512,31
27104,1138,11384,3345,43
27013,1543,15427,1002,12
28611,1104,11043,108,1
28269,1334,13337,10865,68
27050,1256,12561,513,6
28444,1418,14179,323,1
28673,1323,13231,876,7
27810,1193,11932,504,9
27157,0,0,0,0
27509,2978,29776,2065,39
28366,1867,18669,962,14
27239,1383,13833,1332,20
28544,1232,12324,691,9
27964,536,5360,35,0
28409,1080,10797,3776,30
27278,852,8521,2316,23
27979,712,7115,129,0
28217,1417,14173,4376,24
28369,1682,16823,377,8
28735,0,0,0,0
28043,1686,16859,3620,109
27330,1515,15148,5988,65
28638,1583,15828,1988,14
27516,672,6716,2963,17
27608,1106,11057,1283,3
28328,1689,16894,4553,63
27047,1321,13213,169,2
27537,1338,13376,3387,41
27401,1282,12823,2593,32
27040,1110,11095,1459,13
28078,1299,12994,8586,73
27541,1214,12141,491,3
27966,659,6585,97,0
27017,1685,16854,1601,21
28086,1880,18797,5073,77
27360,1488,14883,7193,92
28203,1575,15747,3003,6
28622,1164,11638,307,1
27849,1025,10249,152,3
28449,649,6486,127,2
27601,1064,10635,1291,8
28340,1644,16437,1765,43
27020,1661,16612,1014,11
28462,1088,10881,1557,21
28213,1649,16485,7474,57
28508,1320,13204,394,7
28311,1222,12220,4405,38
28124,1567,15666,1099,11
28677,1622,16221,5777,74
27869,1694,16936,367,17
27405,1287,12872,6759,66
27214,1285,12846,1509,16
27927,1011,10114,62,0
28428,1067,10669,762,3
27407,1206,12057,6009,76
28344,1623,16230,619,7
