ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1266,12661,1883,15
27865,1633,16326,327,8
28119,1365,13645,414,9
27021,1364,13638,2452,54
28621,1694,16942,1762,39
27846,1518,15184,466,6
28768,1053,10526,831,3
27962,1258,12582,936,22
27539,876,8755,2326,9
27596,1395,13948,2602,7
27712,873,8728,1925,32
28739,950,9498,2089,28
28786,1089,10894,2379,51
28561,NA,NA,0,0
27009,1396,13960,410,5
28772,1210,12101,235,2
28023,1800,18002,2672,33
27875,1409,14090,72,2
28601,1753,17527,8737,125
28262,1450,14495,6332,49
27292,1434,14345,5948,58
27242,1083,10832,289,5
28054,1681,16810,6755,109
27850,846,8458,627,7
28629,0,0,0,0
28073,1686,16857,945,14
27840,1514,15140,81,3
28574,1605,16055,2842,33
28472,1584,15843,3169,79
28785,879,8786,730,5
28318,1500,15003,687,6
27969,NA,NA,0,0
28523,1535,15347,349,3
27604,1271,12709,6055,54
28173,1278,12778,8157,39
27883,1126,11259,491,10
27612,1040,10398,4077,40
28501,1372,13723,2677,48
27941,1015,10149,68,0
28562,1299,12994,4939,55
28658,1846,18462,4774,58
27262,1171,11715,2901,67
27544,1233,12328,529,4
28347,1391,13910,254,1
28801,804,8038,1349,27
28572,1715,17150,1094,13
28395,1426,14264,379,3
27403,952,9522,2026,23
27332,1330,13300,4462,36
27513,676,6765,3315,25
27932,1533,15327,1938,36
27343,913,9130,168,0
27886,1406,14063,3037,76
27411,2113,21133,179,0
28391,1329,13293,708,10
28420,1239,12392,634,12
28429,1280,12796,1093,12
28518,1627,16267,1432,23
28630,1561,15612,3180,56
28716,1127,11271,2102,52
28146,1677,16770,5095,75
28751,1108,11075,414,10
28128,1479,14794,1198,17
28672,0,0,0,0
28722,1083,10826,742,13
27842,689,6894,99,0
28439,1673,16732,257,11
28649,1344,13443,139,1
27042,1250,12500,90,2
28215,1612,16118,9712,77
27821,0,0,0,0
27806,922,9218,225,4
27408,954,9537,1660,9
27409,1162,11625,2087,20
28587,0,0,0,0
27808,1060,10601,263,6
27881,0,0,0,0
