Zip Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1266,12661,1898,15
27007,1390,13904,300,2
27009,1396,13960,412,5
27011,1491,14914,811,7
27012,1332,13321,3870,59
27013,1540,15396,1002,12
27014,1661,16614,161,5
27016,1593,15933,271,4
27017,1670,16696,1598,21
27018,1252,12517,1038,10
27019,1171,11715,496,2
27020,1650,16497,1013,11
27021,1364,13638,2467,54
27022,979,9788,150,3
27023,1121,11209,1439,7
27024,1547,15468,419,4
27025,1249,12485,1400,32
27027,1148,11476,466,19
27028,1459,14587,4133,47
27030,1608,16076,6087,132
27040,1098,10981,1456,13
27041,1403,14027,1130,10
27042,1250,12500,90,2
27043,1250,12496,817,9
27045,1445,14453,1392,12
27046,1147,11470,226,2
27047,1306,13057,169,2
27048,1140,11402,1018,12
27050,1232,12316,511,6
27051,1283,12827,1076,10
27052,1343,13428,1357,28
27053,1020,10203,325,4
27054,1752,17523,460,5
27055,1588,15880,2312,32
27101,1042,10419,2545,48
27103,1175,11755,4260,48
27104,1129,11285,3340,42
27105,1411,14107,5700,54
27106,1119,11186,5781,66
27107,1346,13459,7099,63
27127,1401,14009,5419,30
27157,0,0,0,0
27203,1620,16205,3565,60
27205,1469,14686,5105,56
27207,1193,11929,456,2
27208,1390,13897,235,3
27209,2096,20959,873,43
27212,2613,26125,418,1
27214,1275,12752,1507,16
27215,1410,14098,6367,82
27217,1747,17466,6855,110
27229,1724,17240,693,18
27231,767,7666,158,1
27233,1245,12449,456,4
27235,1272,12721,583,13
27239,1382,13823,1332,20
27242,1083,10832,291,5
27243,907,9068,426,4
27244,1760,17596,2881,29
27248,1295,12947,632,6
27249,1292,12924,1736,19
27252,808,8083,185,2
27253,1574,15742,4975,61
27258,1258,12584,977,8
27260,1224,12239,3160,50
27262,1171,11715,2917,67
27263,1328,13284,2977,50
27265,1216,12165,6107,68
27268,1994,19941,338,0
27278,843,8429,2311,23
27281,1000,10000,372,4
27282,1138,11382,1903,27
27283,1351,13514,405,5
27284,1315,13149,7422,101
27288,1232,12321,2931,64
27291,1138,11378,178,1
27292,1434,14345,5967,60
27295,1544,15442,6083,77
27298,1275,12749,1338,13
27299,1806,18062,949,10
27301,1484,14842,1491,22
27302,1187,11872,3861,26
27305,1287,12871,206,1
27306,1652,16518,987,21
27310,1020,10196,875,4
27311,1345,13447,439,5
27312,634,6341,1413,26
27313,1110,11100,811,26
27314,984,9842,112,1
27315,925,9252,198,1
27316,1372,13723,982,17
27317,1477,14767,2647,34
27320,1251,12511,4899,59
27325,1403,14031,1080,13
27326,1338,13380,496,2
27330,1498,14984,5976,65
27332,1330,13300,4478,37
27340,0,0,0,0
27341,1234,12337,723,4
27343,913,9130,168,0
27344,1357,13572,2625,37
27349,1403,14034,824,6
27350,1235,12347,938,11
27355,1054,10544,340,2
27356,1315,13151,467,8
27357,1461,14607,1222,21
27358,952,9524,1529,8
27360,1475,14750,7181,92
27370,1531,15306,2249,42
27371,1481,14811,1156,17
27376,1229,12293,1224,23
27377,1454,14536,1397,12
27379,1288,12878,785,25
27401,1271,12715,2589,32
27403,952,9522,2041,23
27405,1276,12758,6748,66
27406,1271,12707,7770,126
27407,1198,11977,6001,76
27408,954,9537,1665,9
27409,1162,11625,2096,20
27410,952,9518,5449,58
27411,2113,21133,179,0
27412,276,2757,52,0
27455,1113,11135,3266,71
