ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
27006,1241,12406,1845,14
27865,1603,16026,321,8
28119,1335,13349,405,9
27021,1347,13466,2421,53
28621,1661,16606,1727,39
27846,1473,14728,452,5
27962,1217,12166,905,21
28768,1027,10272,811,3
27539,866,8661,2301,8
27596,1382,13819,2578,7
27712,861,8606,1898,32
28739,936,9357,2058,26
28786,1062,10620,2319,51
28561,NA,NA,0,0
27009,1379,13790,405,4
28772,1195,11946,232,2
28023,1779,17786,2640,31
27875,1409,14090,72,2
28601,1723,17228,8588,122
28262,1430,14301,6247,49
27292,1415,14149,5867,52
27242,1064,10645,284,5
28054,1648,16482,6623,106
27850,832,8323,617,7
28073,1634,16340,916,14
28629,0,0,0,0
27840,1477,14766,79,3
28574,1563,15625,2766,28
28472,1573,15728,3146,77
28785,857,8569,712,5
27969,NA,NA,0,0
28318,1474,14741,675,6
28523,1500,14996,341,3
27604,1260,12602,6004,53
28173,1259,12588,8036,37
27883,1103,11030,481,8
27612,1024,10243,4016,40
28501,1343,13426,2619,47
27941,985,9851,66,0
28562,1280,12797,4864,55
28658,1816,18157,4695,55
27262,1147,11472,2841,66
27544,1210,12095,519,4
28347,1386,13855,253,1
28801,781,7806,1310,26
28572,1684,16836,1074,13
28395,1389,13888,369,3
27403,930,9296,1978,23
27332,1306,13061,4382,34
27513,664,6642,3255,25
27932,1520,15201,1922,36
27343,891,8913,164,0
27886,1389,13887,2999,75
28391,1296,12955,690,10
27411,2113,21133,179,0
28429,1258,12585,1075,12
28420,1212,12119,620,12
28518,1602,16017,1410,21
28630,1540,15401,3137,29
28716,1107,11072,2065,51
28146,1656,16556,5030,72
28751,1078,10781,403,10
28128,1455,14547,1178,17
28672,0,0,0,0
28722,1074,10738,736,13
28439,1660,16602,255,10
27842,669,6685,96,0
28649,1335,13346,138,1
27042,1222,12222,88,2
28215,1588,15884,9571,76
27821,0,0,0,0
27806,893,8931,218,4
27408,937,9370,1631,8
27409,1134,11341,2036,20
28587,0,0,0,0
27808,1036,10359,257,6
27881,0,0,0,0
28403,1297,12972,5441,30
27013,1518,15181,986,12
27104,1118,11177,3284,41
28611,1084,10838,106,0
28269,1309,13093,10666,65
27050,1214,12145,496,5
28444,1370,13696,312,1
28673,1276,12762,845,6
27810,1162,11624,491,9
27157,0,0,0,0
