ZIP Code,Cases Per 10 000 Residents,Cases Per 100 000 Residents,Cases,Deaths
28107,1700,17004,1396,11
27573,1426,14263,1649,58
27803,1244,12441,2779,34
28692,773,7726,348,1
28580,1365,13648,1642,39
28546,1285,12848,6676,62
28167,1373,13730,332,5
28039,0,0,0,0
27866,1622,16220,109,2
28098,1576,15761,632,4
28679,754,7540,160,2
28166,1547,15474,1527,25
27283,1318,13179,393,5
28571,653,6535,205,3
28016,1542,15421,2240,35
27892,1503,15032,2159,34
27982,NA,NA,0,0
27937,802,8018,341,5
28117,1347,13475,6415,23
28202,1708,17081,2862,3
28170,1429,14295,1786,45
28637,2767,27669,438,5
28204,1600,15999,1398,7
28608,NA,NA,0,0
28515,1247,12475,432,3
28021,1660,16597,2230,46
28623,1294,12937,222,0
27617,1046,10461,2041,3
27888,1306,13057,366,2
28612,1432,14323,2135,45
28665,1216,12157,363,4
28032,1610,16097,523,2
28075,1406,14061,2696,18
28306,1268,12682,5398,51
28791,1043,10429,1649,33
28270,979,9789,3402,31
27551,730,7302,161,3
28421,926,9265,189,4
28602,1604,16039,5007,93
27587,1308,13085,9694,60
28904,1286,12858,1226,31
28524,0,0,0,0
28033,1734,17341,583,4
27310,996,9963,853,4
28314,1283,12826,6880,53
28301,1400,13998,2480,75
28675,1396,13960,950,5
27030,1563,15627,5882,131
27521,1383,13834,989,12
27805,905,9047,341,4
27536,1471,14709,2421,47
27939,834,8338,281,5
27896,1497,14968,3175,39
27340,0,0,0,0
28690,1540,15403,1452,17
28711,778,7777,1186,34
27514,698,6984,2294,24
27027,1133,11327,455,19
27851,1323,13226,740,10
28787,1091,10913,2257,37
27525,1465,14645,2275,5
27822,1460,14596,1331,19
28659,1558,15581,3274,61
28709,906,9055,209,2
28006,1796,17958,204,2
27824,935,9351,144,0
28357,1213,12128,391,4
27243,864,8639,403,4
28139,1530,15298,3080,106
28387,1124,11243,1927,61
28452,2008,20078,103,2
28777,1703,17034,1770,18
28763,992,9916,284,2
28742,1196,11962,339,4
27957,1036,10359,147,7
28756,1069,10692,510,4
28553,670,6705,35,1
28693,1246,12463,211,1
28223,88,884,26,0
27858,1492,14922,8680,23
28754,1189,11889,1049,26
28533,NA,NA,0,0
27827,0,0,0,0
27946,891,8907,97,0
28624,1057,10565,200,4
28594,1109,11093,408,4
27942,716,7158,67,1
27701,1063,10627,2815,16
28457,1215,12150,1560,16
28451,1222,12224,4791,38
28557,1132,11322,1727,11
28736,986,9865,73,0
28454,1169,11693,415,5
28135,1188,11880,709,7
27268,1988,19882,337,0
28025,1521,15212,8416,93
27916,1480,14801,82,0
