GEOID,DATE,DEV,COMPHOME
370610905022,2021-04-16,92,16
370670016011,2021-04-16,57,15
370779703001,2021-04-16,51,9
371830523023,2021-04-16,165,29
370270313003,2021-04-16,68,10
370459505003,2021-04-16,99,21
370630004012,2021-04-16,45,8
370650207002,2021-04-16,52,6
371830524011,2021-04-16,244,49
370810128041,2021-04-16,116,28
371190031031,2021-04-16,75,23
371190056042,2021-04-16,149,23
371290120103,2021-04-16,69,9
371830538071,2021-04-16,121,24
370190205096,2021-04-16,84,28
370970610022,2021-04-16,67,15
371190058162,2021-04-16,38,6
371270108004,2021-04-16,99,23
371470001003,2021-04-16,167,15
371830534131,2021-04-16,588,129
371950008011,2021-04-16,15,4
370079203001,2021-04-16,107,15
370270309003,2021-04-16,88,12
370370201051,2021-04-16,58,17
370570616002,2021-04-16,52,5
370670012002,2021-04-16,45,6
370899307012,2021-04-16,105,13
371190058451,2021-04-16,88,17
371190062081,2021-04-16,192,36
371470016004,2021-04-16,115,27
371590511012,2021-04-16,64,9
371690701005,2021-04-16,58,10
371830529031,2021-04-16,212,58
371839801001,2021-04-16,27,1
371950001002,2021-04-16,47,12
370010212053,2021-04-16,244,38
370099708001,2021-04-16,63,6
370459509003,2021-04-16,151,102
370570603011,2021-04-16,254,48
370810126013,2021-04-16,40,5
370879205003,2021-04-16,119,25
370970614012,2021-04-16,158,22
371319203003,2021-04-16,38,4
371570403002,2021-04-16,64,15
371590511011,2021-04-16,155,27
370370208002,2021-04-16,131,24
370810160081,2021-04-16,134,26
371139707005,2021-04-16,90,23
371650106001,2021-04-16,29,5
371830506001,2021-04-16,28,7
371830538061,2021-04-16,278,106
371950004001,2021-04-16,41,6
370099704001,2021-04-16,78,14
370650206001,2021-04-16,59,15
370650208001,2021-04-16,64,14
370810145012,2021-04-16,30,4
370879202005,2021-04-16,74,15
371510315053,2021-04-16,54,8
371590518011,2021-04-16,212,24
371639702004,2021-04-16,148,14
370650215001,2021-04-16,63,11
371590509041,2021-04-16,83,13
371619611022,2021-04-16,42,14
371719305021,2021-04-16,42,5
370459506023,2021-04-16,92,17
370710332021,2021-04-16,157,29
370970615012,2021-04-16,169,27
371650106004,2021-04-16,107,25
370059501002,2021-04-16,78,17
370190205041,2021-04-16,81,19
370210025042,2021-04-16,127,27
370510038003,2021-04-16,37,8
371010401004,2021-04-16,86,16
370319708041,2021-04-16,103,19
370630016032,2021-04-16,243,67
371330003011,2021-04-16,107,27
370190205094,2021-04-16,54,11
370510008002,2021-04-16,46,12
370570602032,2021-04-16,136,25
370810110001,2021-04-16,19,8
371090712011,2021-04-16,118,28
371190055082,2021-04-16,81,26
371190058171,2021-04-16,69,13
371510313061,2021-04-16,233,36
371619611012,2021-04-16,64,3
371790202023,2021-04-16,103,15
371939604005,2021-04-16,80,12
370119301003,2021-04-16,41,1
370210027012,2021-04-16,89,16
370459505002,2021-04-16,123,19
370510033123,2021-04-16,91,28
370531103011,2021-04-16,95,17
370670040091,2021-04-16,114,23
370899309002,2021-04-16,96,18
371010402022,2021-04-16,327,55
371239604012,2021-04-16,52,8
371470005013,2021-04-16,95,19
371830543021,2021-04-16,49,12
370179505002,2021-04-16,103,20
370210026064,2021-04-16,52,7
370350118013,2021-04-16,116,16
370810158002,2021-04-16,48,8
371010408001,2021-04-16,49,8
371470003012,2021-04-16,104,19
371570409001,2021-04-16,43,2
371830530051,2021-04-16,30,9
370010203003,2021-04-16,74,14
370499611001,2021-04-16,343,71
370810114004,2021-04-16,26,7
371290107002,2021-04-16,69,14
371539702001,2021-04-16,83,19
371830530093,2021-04-16,55,15
371910006012,2021-04-16,24,3
371939607002,2021-04-16,75,16
370670035003,2021-04-16,45,12
370670040111,2021-04-16,124,25
370710314022,2021-04-16,39,8
371190055123,2021-04-16,117,28
371570414001,2021-04-16,376,212
371570416022,2021-04-16,83,20
371830517002,2021-04-16,43,3
371950008023,2021-04-16,75,10
370210016004,2021-04-16,67,26
370570605001,2021-04-16,113,14
370939701012,2021-04-16,283,66
370970616021,2021-04-16,746,284
371139707002,2021-04-16,78,7
371190030153,2021-04-16,76,11
371190037002,2021-04-16,60,11
371190055181,2021-04-16,173,40
371570407001,2021-04-16,105,23
370839309001,2021-04-16,23,5
371290103001,2021-04-16,108,26
371419202031,2021-04-16,411,67
370710310042,2021-04-16,93,15
370570620013,2021-04-16,139,18
370630016043,2021-04-16,109,26
370810103002,2021-04-16,52,13
370810126014,2021-04-16,97,17
371010402023,2021-04-16,120,18
371190030071,2021-04-16,48,8
371259511001,2021-04-16,70,11
371590504001,2021-04-16,35,11
371790210142,2021-04-16,48,9
371819608001,2021-04-16,45,18
370210027011,2021-04-16,84,12
370270301002,2021-04-16,588,358
370670004002,2021-04-16,21,6
371190058431,2021-04-16,126,19
371330023002,2021-04-16,167,31
371350110005,2021-04-16,75,11
371570407003,2021-04-16,39,5
371790203051,2021-04-16,226,49
371910009012,2021-04-16,71,10
371910020001,2021-04-16,27,14
370499610022,2021-04-16,65,15
371010408002,2021-04-16,360,141
371270105021,2021-04-16,126,32
371330012004,2021-04-16,81,19
371899209004,2021-04-16,60,13
370190203051,2021-04-16,155,26
370230206001,2021-04-16,81,20
370499601012,2021-04-16,122,28
370510033124,2021-04-16,42,9
370610903001,2021-04-16,40,8
370899314003,2021-04-16,91,19
371010413004,2021-04-16,141,19
371050306021,2021-04-16,85,11
371559615004,2021-04-16,40,6
370350116023,2021-04-16,120,9
370350117012,2021-04-16,127,18
371050305033,2021-04-16,132,34
371070114001,2021-04-16,53,8
371290101003,2021-04-16,21,10
371590510014,2021-04-16,156,23
371719311012,2021-04-16,110,19
371830532061,2021-04-16,380,86
371879501002,2021-04-16,22,5
370250422002,2021-04-16,97,21
370339302001,2021-04-16,29,7
370531102002,2021-04-16,403,100
370810125031,2021-04-16,50,14
370810157053,2021-04-16,63,20
370970609014,2021-04-16,65,4
371010411033,2021-04-16,507,92
371830523021,2021-04-16,146,38
370739701002,2021-04-16,43,9
370970604001,2021-04-16,90,22
371290116061,2021-04-16,315,123
370250426022,2021-04-16,104,25
370630001011,2021-04-16,28,7
370710331002,2021-04-16,55,10
371190025001,2021-04-16,213,33
371190062032,2021-04-16,148,36
371290116062,2021-04-16,104,18
371379502021,2021-04-16,39,5
371830528033,2021-04-16,169,48
371950009001,2021-04-16,86,22
370499602005,2021-04-16,103,19
370510033044,2021-04-16,31,10
370650204005,2021-04-16,78,32
370670010003,2021-04-16,56,16
371010408003,2021-04-16,40,7
371070114003,2021-04-16,68,15
371190055091,2021-04-16,139,37
371190060062,2021-04-16,509,153
371190060063,2021-04-16,91,20
371259508012,2021-04-16,35,9
371330001021,2021-04-16,201,44
371470018002,2021-04-16,17,5
371590511014,2021-04-16,199,29
371830528032,2021-04-16,134,30
370250417021,2021-04-16,91,11
370399301003,2021-04-16,46,14
370810162011,2021-04-16,262,47
370810167021,2021-04-16,108,18
370190205071,2021-04-16,60,19
370270308001,2021-04-16,94,10
370510010002,2021-04-16,60,22
370630017062,2021-04-16,78,22
370710316003,2021-04-16,80,14
370810126011,2021-04-16,43,11
370839305023,2021-04-16,92,14
370899314004,2021-04-16,57,14
371510310002,2021-04-16,86,23
371719310032,2021-04-16,96,18
371830541063,2021-04-16,137,40
370350107002,2021-04-16,54,7
370459503022,2021-04-16,106,24
370670037031,2021-04-16,157,32
371190030074,2021-04-16,80,15
371679308012,2021-04-16,193,27
371790203072,2021-04-16,239,37
370630017111,2021-04-16,58,11
370670005002,2021-04-16,32,13
370270303001,2021-04-16,82,16
370479306004,2021-04-16,83,11
371190020033,2021-04-16,48,9
371590503002,2021-04-16,101,32
370250425012,2021-04-16,250,57
370810153002,2021-04-16,157,24
370839307003,2021-04-16,28,4
371350117001,2021-04-16,140,12
371830535062,2021-04-16,34,9
370010210001,2021-04-16,33,9
370230208011,2021-04-16,171,33
370810158003,2021-04-16,199,34
370970609012,2021-04-16,79,25
371830524041,2021-04-16,75,14
370159601001,2021-04-16,32,5
370630017093,2021-04-16,239,56
370970608011,2021-04-16,54,10
371190034003,2021-04-16,44,9
371190057131,2021-04-16,163,18
371639705003,2021-04-16,71,14
371950014001,2021-04-16,262,45
371190004001,2021-04-16,64,12
371259504011,2021-04-16,36,8
371559607013,2021-04-16,110,23
371790204011,2021-04-16,310,36
371790208002,2021-04-16,41,4
370970603001,2021-04-16,49,12
370999507001,2021-04-16,40,5
371190030075,2021-04-16,63,7
371259503011,2021-04-16,52,5
371790204031,2021-04-16,116,21
371790206021,2021-04-16,135,25
371830518003,2021-04-16,47,11
371910010003,2021-04-16,99,18
370630006001,2021-04-16,60,9
370899307033,2021-04-16,133,32
371559602011,2021-04-16,74,13
371830530081,2021-04-16,111,18
370010202003,2021-04-16,49,11
370459506022,2021-04-16,119,20
371639704004,2021-04-16,136,24
371639710003,2021-04-16,58,19
371830530091,2021-04-16,246,125
370010219013,2021-04-16,141,20
370459515012,2021-04-16,82,12
370810116011,2021-04-16,116,35
371050302002,2021-04-16,39,10
371139704002,2021-04-16,74,8
370810106011,2021-04-16,25,6
370899305012,2021-04-16,71,22
370970610011,2021-04-16,165,30
371190055113,2021-04-16,59,17
371539708001,2021-04-16,44,9
371719310012,2021-04-16,35,2
370079204002,2021-04-16,43,3
370590802004,2021-04-16,82,13
370630011002,2021-04-16,53,21
371190053082,2021-04-16,19,8
371330017002,2021-04-16,60,20
371759604021,2021-04-16,68,18
371910008002,2021-04-16,133,26
370250423003,2021-04-16,55,18
370499605004,2021-04-16,84,32
370899309001,2021-04-16,58,16
371010409012,2021-04-16,223,34
371290111001,2021-04-16,39,13
371510311002,2021-04-16,78,8
370479308004,2021-04-16,55,6
370810165061,2021-04-16,48,7
370999505001,2021-04-16,112,24
371050305032,2021-04-16,105,17
371050306023,2021-04-16,154,22
371510310004,2021-04-16,67,12
371830515012,2021-04-16,100,16
371999604001,2021-04-16,62,8
370319707022,2021-04-16,77,14
370510020023,2021-04-16,60,12
370570601024,2021-04-16,86,14
370630007002,2021-04-16,44,14
370710302051,2021-04-16,105,18
370839310003,2021-04-16,10,5
371190058341,2021-04-16,175,34
371270115002,2021-04-16,91,19
371510307001,2021-04-16,116,19
371950011001,2021-04-16,33,8
370810161012,2021-04-16,702,358
371070102002,2021-04-16,37,12
371190056122,2021-04-16,90,17
371190064051,2021-04-16,120,26
371259505013,2021-04-16,178,32
371270111012,2021-04-16,175,32
371590519023,2021-04-16,95,15
371830535232,2021-04-16,118,17
371830538041,2021-04-16,242,36
370399301002,2021-04-16,39,7
370479310003,2021-04-16,84,20
370630021002,2021-04-16,108,20
370670040072,2021-04-16,159,33
371190019171,2021-04-16,77,13
371190046001,2021-04-16,31,9
371399602001,2021-04-16,65,23
370810144073,2021-04-16,58,11
371070101003,2021-04-16,56,11
371190057061,2021-04-16,120,33
371319202002,2021-04-16,26,8
371399607011,2021-04-16,143,25
371690706001,2021-04-16,134,33
370210004002,2021-04-16,15,3
371050301022,2021-04-16,102,18
371090708002,2021-04-16,83,15
371190059091,2021-04-16,281,66
371330004012,2021-04-16,358,56
371470014022,2021-04-16,58,20
371679307003,2021-04-16,125,13
371790210111,2021-04-16,197,36
371830534091,2021-04-16,99,28
370190202031,2021-04-16,139,20
370670006001,2021-04-16,49,16
