GEOID,DATE,DEV,COMPHOME
370610905022,2021-04-13,95,13
370670016011,2021-04-13,50,15
370779703001,2021-04-13,47,11
371830523023,2021-04-13,172,31
370270313003,2021-04-13,60,9
370459505003,2021-04-13,98,30
370630004012,2021-04-13,46,13
370650207002,2021-04-13,48,9
371830524011,2021-04-13,252,64
370190205096,2021-04-13,90,31
370970610022,2021-04-13,71,12
371190058162,2021-04-13,32,9
371270108004,2021-04-13,103,17
371470001003,2021-04-13,164,18
371830534131,2021-04-13,609,166
371950008011,2021-04-13,18,4
370099704001,2021-04-13,80,19
370650206001,2021-04-13,57,21
370650208001,2021-04-13,60,15
370810145012,2021-04-13,28,10
370879202005,2021-04-13,74,17
371510315053,2021-04-13,56,11
371590518011,2021-04-13,219,36
371639702004,2021-04-13,150,23
370810128041,2021-04-13,118,43
371190031031,2021-04-13,73,14
371190056042,2021-04-13,158,37
371290120103,2021-04-13,70,4
371830538071,2021-04-13,122,31
370010212053,2021-04-13,253,55
370099708001,2021-04-13,69,21
370459509003,2021-04-13,154,99
370570603011,2021-04-13,250,54
370810126013,2021-04-13,47,16
370879205003,2021-04-13,121,22
370970614012,2021-04-13,161,27
371319203003,2021-04-13,52,10
371570403002,2021-04-13,57,13
371590511011,2021-04-13,159,31
370079203001,2021-04-13,104,15
370270309003,2021-04-13,91,19
370370201051,2021-04-13,65,23
370570616002,2021-04-13,46,5
370670012002,2021-04-13,47,15
370899307012,2021-04-13,117,29
371190058451,2021-04-13,82,26
371190062081,2021-04-13,211,52
371470016004,2021-04-13,127,25
371590511012,2021-04-13,77,20
371690701005,2021-04-13,64,8
371830529031,2021-04-13,225,50
371839801001,2021-04-13,25,13
371950001002,2021-04-13,36,15
370250417021,2021-04-13,94,16
370399301003,2021-04-13,63,20
370810162011,2021-04-13,263,50
370810167021,2021-04-13,105,20
370710310042,2021-04-13,95,22
370459506023,2021-04-13,88,19
370710332021,2021-04-13,168,32
370970615012,2021-04-13,168,43
371650106004,2021-04-13,116,28
370059501002,2021-04-13,61,19
370190205041,2021-04-13,83,24
370210025042,2021-04-13,114,27
370510038003,2021-04-13,44,10
371010401004,2021-04-13,83,18
370190205094,2021-04-13,55,17
370510008002,2021-04-13,42,11
370570602032,2021-04-13,140,25
370810110001,2021-04-13,17,7
371090712011,2021-04-13,123,29
371190055082,2021-04-13,82,25
371190058171,2021-04-13,65,21
371510313061,2021-04-13,224,37
371619611012,2021-04-13,66,6
371790202023,2021-04-13,106,19
371939604005,2021-04-13,86,12
370230203022,2021-04-13,207,51
