GEOID,DATE,DEV,COMPHOME
370270313003,2021-04-06,63,10
370459505003,2021-04-06,101,22
370630004012,2021-04-06,50,5
370650207002,2021-04-06,45,7
371830524011,2021-04-06,246,66
370610905022,2021-04-06,87,18
370670016011,2021-04-06,49,10
370779703001,2021-04-06,47,7
371830523023,2021-04-06,150,17
370839309001,2021-04-06,30,8
371290103001,2021-04-06,104,23
371419202031,2021-04-06,387,80
370459506023,2021-04-06,95,23
370710332021,2021-04-06,154,27
370970615012,2021-04-06,169,48
371650106004,2021-04-06,101,22
370710310042,2021-04-06,105,25
370010212053,2021-04-06,245,60
370099708001,2021-04-06,55,15
370459509003,2021-04-06,115,53
370570603011,2021-04-06,243,50
370810126013,2021-04-06,36,8
370879205003,2021-04-06,102,17
370970614012,2021-04-06,151,24
371319203003,2021-04-06,55,12
371570403002,2021-04-06,65,19
371590511011,2021-04-06,153,31
370190205096,2021-04-06,86,22
370970610022,2021-04-06,67,13
371190058162,2021-04-06,38,7
371270108004,2021-04-06,99,21
371470001003,2021-04-06,168,13
371830534131,2021-04-06,590,170
371950008011,2021-04-06,22,5
370230203022,2021-04-06,208,47
370710303011,2021-04-06,78,7
370850703001,2021-04-06,106,21
371190033002,2021-04-06,16,2
371350108021,2021-04-06,101,20
371439201004,2021-04-06,116,31
370079203001,2021-04-06,110,18
370270309003,2021-04-06,98,18
370370201051,2021-04-06,53,15
370570616002,2021-04-06,50,6
370670012002,2021-04-06,41,8
370899307012,2021-04-06,108,26
371190058451,2021-04-06,85,16
371190062081,2021-04-06,197,49
371470016004,2021-04-06,112,20
371590511012,2021-04-06,68,11
371690701005,2021-04-06,67,17
371830529031,2021-04-06,212,50
371839801001,2021-04-06,22,3
371950001002,2021-04-06,34,13
370810128041,2021-04-06,115,27
371190031031,2021-04-06,76,24
371190056042,2021-04-06,114,18
371290120103,2021-04-06,70,9
371830538071,2021-04-06,118,26
370099704001,2021-04-06,73,17
370650206001,2021-04-06,58,18
370650208001,2021-04-06,62,11
370810145012,2021-04-06,29,4
370879202005,2021-04-06,67,18
371510315053,2021-04-06,51,5
371590518011,2021-04-06,214,32
371639702004,2021-04-06,148,17
370370208002,2021-04-06,119,19
370810160081,2021-04-06,163,47
371139707005,2021-04-06,88,20
371650106001,2021-04-06,27,9
371830506001,2021-04-06,33,7
371830538061,2021-04-06,228,69
371950004001,2021-04-06,39,8
370190203051,2021-04-06,163,41
370230206001,2021-04-06,97,26
370499601012,2021-04-06,119,36
370510033124,2021-04-06,44,13
370610903001,2021-04-06,41,11
370899314003,2021-04-06,85,12
371010413004,2021-04-06,134,19
371050306021,2021-04-06,88,16
371559615004,2021-04-06,47,1
370210016004,2021-04-06,64,17
370570605001,2021-04-06,105,11
370939701012,2021-04-06,286,78
370970616021,2021-04-06,602,175
371139707002,2021-04-06,70,11
371190030153,2021-04-06,60,10
371190037002,2021-04-06,73,17
371190055181,2021-04-06,182,56
371570407001,2021-04-06,107,22
370059501002,2021-04-06,64,19
370190205041,2021-04-06,83,24
370210025042,2021-04-06,117,28
370510038003,2021-04-06,44,8
371010401004,2021-04-06,82,15
370190205094,2021-04-06,59,18
370510008002,2021-04-06,39,9
370570602032,2021-04-06,132,28
370810110001,2021-04-06,20,8
371090712011,2021-04-06,120,26
371190055082,2021-04-06,87,27
371190058171,2021-04-06,49,7
371510313061,2021-04-06,229,36
371619611012,2021-04-06,64,10
371790202023,2021-04-06,105,21
371939604005,2021-04-06,89,17
371190004001,2021-04-06,72,18
371259504011,2021-04-06,36,4
371559607013,2021-04-06,107,19
371790204011,2021-04-06,336,64
371790208002,2021-04-06,35,1
370190203071,2021-04-06,37,5
370210027021,2021-04-06,136,34
370270303004,2021-04-06,74,22
370479308002,2021-04-06,94,12
371190054042,2021-04-06,99,24
371350107053,2021-04-06,31,8
371559602013,2021-04-06,97,23
371559620012,2021-04-06,37,8
371830537221,2021-04-06,63,12
370810106011,2021-04-06,25,7
370899305012,2021-04-06,75,21
370970610011,2021-04-06,173,32
371190055113,2021-04-06,66,11
371539708001,2021-04-06,52,8
371719310012,2021-04-06,33,5
370119301003,2021-04-06,34,4
370210027012,2021-04-06,94,19
370459505002,2021-04-06,120,23
370510033123,2021-04-06,83,27
370531103011,2021-04-06,92,23
370670040091,2021-04-06,124,23
370899309002,2021-04-06,104,21
371010402022,2021-04-06,314,64
371239604012,2021-04-06,43,5
371470005013,2021-04-06,94,13
371830543021,2021-04-06,59,18
370810166001,2021-04-06,186,60
371010415011,2021-04-06,117,18
371190058252,2021-04-06,134,35
371190058481,2021-04-06,160,32
371510313031,2021-04-06,210,43
371830537261,2021-04-06,100,27
370459510002,2021-04-06,70,13
371190006002,2021-04-06,51,14
371590512011,2021-04-06,193,36
371899207033,2021-04-06,112,12
370350116023,2021-04-06,129,17
370350117012,2021-04-06,128,15
371050305033,2021-04-06,127,28
371070114001,2021-04-06,58,9
371290101003,2021-04-06,16,5
371590510014,2021-04-06,158,24
371719311012,2021-04-06,97,21
371830532061,2021-04-06,383,103
371879501002,2021-04-06,32,9
370210027011,2021-04-06,93,23
370270301002,2021-04-06,421,231
370670004002,2021-04-06,22,6
371190058431,2021-04-06,124,23
371330023002,2021-04-06,166,27
371350110005,2021-04-06,75,15
371570407003,2021-04-06,39,11
371790203051,2021-04-06,208,45
371910009012,2021-04-06,65,11
371910020001,2021-04-06,16,4
370510025031,2021-04-06,92,19
371010411031,2021-04-06,402,72
371119709011,2021-04-06,79,14
371190030181,2021-04-06,124,28
371270113001,2021-04-06,178,32
371470007014,2021-04-06,24,5
371830540171,2021-04-06,88,18
370670035003,2021-04-06,61,16
370670040111,2021-04-06,128,29
370710314022,2021-04-06,41,7
371190055123,2021-04-06,123,39
371570414001,2021-04-06,284,133
371570416022,2021-04-06,73,13
371830517002,2021-04-06,45,2
371950008023,2021-04-06,75,18
370479309001,2021-04-06,61,17
370630016013,2021-04-06,95,19
371619607002,2021-04-06,69,13
371939604001,2021-04-06,76,8
370190205071,2021-04-06,58,20
370270308001,2021-04-06,107,21
370510010002,2021-04-06,60,25
370630017062,2021-04-06,76,17
370710316003,2021-04-06,83,18
370810126011,2021-04-06,48,14
370839305023,2021-04-06,89,15
370899314004,2021-04-06,60,19
371510310002,2021-04-06,89,23
371719310032,2021-04-06,90,13
371830541063,2021-04-06,139,46
370570620013,2021-04-06,147,27
370630016043,2021-04-06,112,26
370810103002,2021-04-06,53,8
370810126014,2021-04-06,108,26
371010402023,2021-04-06,127,26
371190030071,2021-04-06,51,8
371259511001,2021-04-06,82,19
371590504001,2021-04-06,47,16
371790210142,2021-04-06,48,12
371819608001,2021-04-06,38,13
370099707005,2021-04-06,34,7
370370204013,2021-04-06,93,23
370850708011,2021-04-06,157,34
371470003021,2021-04-06,220,44
371830541154,2021-04-06,339,149
371910001011,2021-04-06,258,44
371070113001,2021-04-06,112,24
371190048003,2021-04-06,53,10
371239604021,2021-04-06,115,18
370399301002,2021-04-06,38,15
370479310003,2021-04-06,79,19
370630021002,2021-04-06,111,29
370670040072,2021-04-06,151,34
371190019171,2021-04-06,78,29
371190046001,2021-04-06,41,12
371399602001,2021-04-06,71,25
370179505002,2021-04-06,86,13
370210026064,2021-04-06,46,12
370350118013,2021-04-06,101,6
370810158002,2021-04-06,57,17
371010408001,2021-04-06,47,10
371470003012,2021-04-06,113,30
371570409001,2021-04-06,48,7
371830530051,2021-04-06,35,14
370210016002,2021-04-06,61,11
370210017002,2021-04-06,45,10
370210022043,2021-04-06,54,22
370710310032,2021-04-06,230,29
371119706001,2021-04-06,70,10
370479308004,2021-04-06,49,8
370810165061,2021-04-06,56,11
370999505001,2021-04-06,110,22
371050305032,2021-04-06,98,18
371050306023,2021-04-06,153,21
371510310004,2021-04-06,64,16
371830515012,2021-04-06,98,11
371999604001,2021-04-06,67,12
370010203003,2021-04-06,75,22
370499611001,2021-04-06,337,85
370810114004,2021-04-06,27,6
371290107002,2021-04-06,79,20
371539702001,2021-04-06,89,19
371830530093,2021-04-06,52,17
371910006012,2021-04-06,23,8
371939607002,2021-04-06,75,16
370350107001,2021-04-06,34,10
370510031042,2021-04-06,148,30
370531102001,2021-04-06,215,35
370670026012,2021-04-06,54,10
370839305022,2021-04-06,61,15
371070108003,2021-04-06,44,1
371290116052,2021-04-06,109,21
371719311022,2021-04-06,147,29
370570620023,2021-04-06,40,5
370899307021,2021-04-06,163,39
371070111004,2021-04-06,92,18
371830521011,2021-04-06,169,56
370810144073,2021-04-06,69,22
371070101003,2021-04-06,51,11
371190057061,2021-04-06,112,28
371319202002,2021-04-06,20,1
371399607011,2021-04-06,144,28
371690706001,2021-04-06,127,22
370690603022,2021-04-06,55,6
371719311031,2021-04-06,117,23
370250417021,2021-04-06,92,17
370399301003,2021-04-06,35,6
370810162011,2021-04-06,259,50
370810167021,2021-04-06,106,9
370350118012,2021-04-06,175,20
370810164072,2021-04-06,112,21
371010402031,2021-04-06,1344,270
371190058172,2021-04-06,196,40
371270108001,2021-04-06,90,13
371830535071,2021-04-06,38,16
370250422002,2021-04-06,101,12
370339302001,2021-04-06,31,4
370531102002,2021-04-06,388,92
370810125031,2021-04-06,49,11
370810157053,2021-04-06,68,16
370970609014,2021-04-06,67,7
371010411033,2021-04-06,510,96
371830523021,2021-04-06,150,33
370250423003,2021-04-06,51,9
370499605004,2021-04-06,84,31
370899309001,2021-04-06,54,18
371010409012,2021-04-06,240,58
371290111001,2021-04-06,39,12
371510311002,2021-04-06,79,10
370010219013,2021-04-06,129,15
370459515012,2021-04-06,85,14
370810116011,2021-04-06,106,26
371050302002,2021-04-06,51,10
371139704002,2021-04-06,81,14
370570612011,2021-04-06,100,25
370850713032,2021-04-06,206,42
371090709023,2021-04-06,135,15
371190062031,2021-04-06,117,17
371650105004,2021-04-06,48,13
371790209011,2021-04-06,124,25
370650215001,2021-04-06,61,12
371590509041,2021-04-06,83,18
371619611022,2021-04-06,39,9
371719305021,2021-04-06,40,11
370570612012,2021-04-06,79,27
370670027013,2021-04-06,66,16
371090711021,2021-04-06,418,84
371690701004,2021-04-06,50,9
371830528021,2021-04-06,85,19
370010210001,2021-04-06,35,6
370230208011,2021-04-06,193,42
370810158003,2021-04-06,217,46
370970609012,2021-04-06,73,16
371830524041,2021-04-06,84,14
370350107002,2021-04-06,66,19
370459503022,2021-04-06,93,20
370670037031,2021-04-06,152,28
371190030074,2021-04-06,77,19
371679308012,2021-04-06,193,35
371790203072,2021-04-06,226,35
370250426022,2021-04-06,90,21
370630001011,2021-04-06,32,6
370710331002,2021-04-06,54,11
371190025001,2021-04-06,138,21
371190062032,2021-04-06,141,37
371290116062,2021-04-06,112,22
371379502021,2021-04-06,34,12
371830528033,2021-04-06,185,67
371950009001,2021-04-06,91,16
370210004002,2021-04-06,9,1
371050301022,2021-04-06,100,23
371090708002,2021-04-06,89,23
371190059091,2021-04-06,275,77
371330004012,2021-04-06,358,68
371470014022,2021-04-06,61,19
371679307003,2021-04-06,122,10
371790210111,2021-04-06,203,39
371830534091,2021-04-06,92,28
370350103042,2021-04-06,72,20
370350113003,2021-04-06,158,31
370570617011,2021-04-06,144,27
371070106002,2021-04-06,54,14
371190023001,2021-04-06,24,2
371379502022,2021-04-06,66,11
371830535201,2021-04-06,98,26
371950012003,2021-04-06,82,14
370079204002,2021-04-06,42,11
370590802004,2021-04-06,77,12
370630011002,2021-04-06,50,16
371190053082,2021-04-06,21,7
371330017002,2021-04-06,66,21
371759604021,2021-04-06,71,22
371910008002,2021-04-06,129,13
370079203003,2021-04-06,162,24
370190205074,2021-04-06,61,15
370630020191,2021-04-06,51,14
370670040053,2021-04-06,81,21
370779701013,2021-04-06,96,20
371330002021,2021-04-06,125,19
371759603001,2021-04-06,60,15
370250416013,2021-04-06,248,37
370370206001,2021-04-06,95,20
371830537252,2021-04-06,116,21
370210026072,2021-04-06,79,17
370230213011,2021-04-06,96,17
370350111024,2021-04-06,321,98
370810160082,2021-04-06,140,34
371190063041,2021-04-06,77,17
371350107042,2021-04-06,66,20
371350116022,2021-04-06,83,20
371419202021,2021-04-06,171,25
371499202003,2021-04-06,65,10
370499610022,2021-04-06,67,13
371010408002,2021-04-06,284,94
371270105021,2021-04-06,134,49
371330012004,2021-04-06,73,13
371899209004,2021-04-06,59,13
370319708041,2021-04-06,99,21
370630016032,2021-04-06,208,52
371330003011,2021-04-06,98,23
370370204022,2021-04-06,79,28
370510014003,2021-04-06,50,9
370570603041,2021-04-06,227,38
370670004001,2021-04-06,28,5
371119702002,2021-04-06,66,19
371539708003,2021-04-06,32,9
370810164081,2021-04-06,115,28
370839307002,2021-04-06,47,7
370970614031,2021-04-06,111,19
371190006001,2021-04-06,25,10
371190059064,2021-04-06,48,12
371219502001,2021-04-06,60,15
371239603002,2021-04-06,118,24
371830535171,2021-04-06,85,36
371830535221,2021-04-06,92,23
371190055142,2021-04-06,87,22
371790210152,2021-04-06,205,42
371899209003,2021-04-06,59,13
370810161012,2021-04-06,501,214
371070102002,2021-04-06,49,15
371190056122,2021-04-06,98,23
371190064051,2021-04-06,124,36
371259505013,2021-04-06,171,44
371270111012,2021-04-06,173,37
371590519023,2021-04-06,92,16
371830535232,2021-04-06,104,29
371830538041,2021-04-06,233,49
370159601001,2021-04-06,27,4
