GEOID,DATE,DEV,COMPHOME
370270313003,2021-03-28,67,9
370459505003,2021-03-28,89,19
370630004012,2021-03-28,52,11
370650207002,2021-03-28,42,7
371830524011,2021-03-28,228,52
370610905022,2021-03-28,80,20
370670016011,2021-03-28,48,14
370779703001,2021-03-28,46,7
371830523023,2021-03-28,169,34
370190205096,2021-03-28,79,24
370970610022,2021-03-28,69,24
371190058162,2021-03-28,36,9
371270108004,2021-03-28,95,19
371470001003,2021-03-28,162,13
371830534131,2021-03-28,589,152
371950008011,2021-03-28,20,7
370459506023,2021-03-28,96,21
370710332021,2021-03-28,148,39
370970615012,2021-03-28,180,56
371650106004,2021-03-28,97,28
370650215001,2021-03-28,57,15
371590509041,2021-03-28,78,18
371619611022,2021-03-28,42,12
371719305021,2021-03-28,38,8
370190203051,2021-03-28,152,42
370230206001,2021-03-28,85,25
370499601012,2021-03-28,124,38
370510033124,2021-03-28,44,12
370610903001,2021-03-28,38,1
370899314003,2021-03-28,93,17
371010413004,2021-03-28,125,23
371050306021,2021-03-28,84,8
371559615004,2021-03-28,43,5
370250417021,2021-03-28,91,17
370399301003,2021-03-28,45,18
370810162011,2021-03-28,263,51
370810167021,2021-03-28,102,26
370230203022,2021-03-28,221,64
370710303011,2021-03-28,79,21
370850703001,2021-03-28,113,28
371190033002,2021-03-28,8,1
371350108021,2021-03-28,91,25
371439201004,2021-03-28,114,35
370499610022,2021-03-28,62,12
371010408002,2021-03-28,438,248
371270105021,2021-03-28,120,34
371330012004,2021-03-28,74,24
371899209004,2021-03-28,57,12
370810128041,2021-03-28,106,42
371190031031,2021-03-28,68,17
371190056042,2021-03-28,119,27
371290120103,2021-03-28,68,10
371830538071,2021-03-28,112,33
370079204002,2021-03-28,51,17
370590802004,2021-03-28,77,23
370630011002,2021-03-28,43,15
371190053082,2021-03-28,25,5
371330017002,2021-03-28,67,19
371759604021,2021-03-28,73,30
371910008002,2021-03-28,131,25
370839309001,2021-03-28,27,4
371290103001,2021-03-28,109,31
371419202031,2021-03-28,411,113
370119301003,2021-03-28,32,6
370210027012,2021-03-28,91,29
370459505002,2021-03-28,127,29
370510033123,2021-03-28,81,25
370531103011,2021-03-28,93,31
370670040091,2021-03-28,166,64
