GEOID,DATE,DEV,COMPHOME
370270313003,2021-04-09,58,11
370459505003,2021-04-09,104,18
370630004012,2021-04-09,47,14
370650207002,2021-04-09,48,11
371830524011,2021-04-09,260,68
370610905022,2021-04-09,88,11
370670016011,2021-04-09,48,15
370779703001,2021-04-09,54,11
371830523023,2021-04-09,160,23
370839309001,2021-04-09,32,8
371290103001,2021-04-09,116,34
371419202031,2021-04-09,407,71
370190205096,2021-04-09,100,29
370970610022,2021-04-09,67,8
371190058162,2021-04-09,32,6
371270108004,2021-04-09,105,14
371470001003,2021-04-09,162,16
371830534131,2021-04-09,607,136
371950008011,2021-04-09,16,1
370370208002,2021-04-09,140,29
370810160081,2021-04-09,157,36
371139707005,2021-04-09,94,19
371650106001,2021-04-09,30,9
371830506001,2021-04-09,27,7
371830538061,2021-04-09,328,105
371950004001,2021-04-09,48,10
370810128041,2021-04-09,137,32
371190031031,2021-04-09,95,19
371190056042,2021-04-09,150,20
371290120103,2021-04-09,68,12
371830538071,2021-04-09,113,21
370459506023,2021-04-09,94,11
370710332021,2021-04-09,165,32
370970615012,2021-04-09,182,43
371650106004,2021-04-09,108,24
370059501002,2021-04-09,65,12
370190205041,2021-04-09,91,24
370210025042,2021-04-09,123,31
370510038003,2021-04-09,39,10
371010401004,2021-04-09,81,11
370190203051,2021-04-09,173,41
370230206001,2021-04-09,87,19
370499601012,2021-04-09,131,38
370510033124,2021-04-09,44,8
370610903001,2021-04-09,43,13
370899314003,2021-04-09,90,20
371010413004,2021-04-09,141,13
371050306021,2021-04-09,88,16
371559615004,2021-04-09,40,5
370010212053,2021-04-09,265,49
370099708001,2021-04-09,58,11
370459509003,2021-04-09,178,122
370570603011,2021-04-09,258,51
370810126013,2021-04-09,46,5
370879205003,2021-04-09,110,25
370970614012,2021-04-09,165,25
371319203003,2021-04-09,50,11
371570403002,2021-04-09,74,22
371590511011,2021-04-09,159,27
370119301003,2021-04-09,32,2
370210027012,2021-04-09,96,19
370459505002,2021-04-09,127,22
370510033123,2021-04-09,96,35
370531103011,2021-04-09,94,23
370670040091,2021-04-09,129,13
370899309002,2021-04-09,101,25
371010402022,2021-04-09,328,58
371239604012,2021-04-09,52,13
371470005013,2021-04-09,88,15
371830543021,2021-04-09,59,13
370319708041,2021-04-09,107,26
370630016032,2021-04-09,258,63
371330003011,2021-04-09,105,21
370399301002,2021-04-09,41,10
370479310003,2021-04-09,92,15
370630021002,2021-04-09,114,21
370670040072,2021-04-09,175,43
371190019171,2021-04-09,80,28
371190046001,2021-04-09,39,15
371399602001,2021-04-09,80,27
370250417021,2021-04-09,97,10
370399301003,2021-04-09,64,19
370810162011,2021-04-09,268,47
370810167021,2021-04-09,111,18
370190205094,2021-04-09,59,20
370510008002,2021-04-09,58,12
370570602032,2021-04-09,146,34
370810110001,2021-04-09,25,8
371090712011,2021-04-09,117,20
371190055082,2021-04-09,85,19
371190058171,2021-04-09,58,18
371510313061,2021-04-09,234,30
371619611012,2021-04-09,73,13
371790202023,2021-04-09,101,22
371939604005,2021-04-09,93,15
370099704001,2021-04-09,82,22
370650206001,2021-04-09,60,11
370650208001,2021-04-09,63,4
370810145012,2021-04-09,31,6
370879202005,2021-04-09,69,17
371510315053,2021-04-09,61,14
371590518011,2021-04-09,223,29
371639702004,2021-04-09,152,21
370010210001,2021-04-09,34,6
370230208011,2021-04-09,190,30
370810158003,2021-04-09,226,33
370970609012,2021-04-09,81,13
371830524041,2021-04-09,76,14
370079203001,2021-04-09,103,12
370270309003,2021-04-09,92,12
370370201051,2021-04-09,53,15
370570616002,2021-04-09,52,8
370670012002,2021-04-09,41,6
370899307012,2021-04-09,105,22
371190058451,2021-04-09,85,17
371190062081,2021-04-09,206,45
371470016004,2021-04-09,119,28
371590511012,2021-04-09,71,15
371690701005,2021-04-09,68,10
371830529031,2021-04-09,225,49
371839801001,2021-04-09,24,1
371950001002,2021-04-09,42,10
