GEOID,DATE,DEV,COMPHOME
370270313003,2021-03-29,59,9
370459505003,2021-03-29,99,17
370630004012,2021-03-29,52,11
370650207002,2021-03-29,49,10
371830524011,2021-03-29,229,67
370610905022,2021-03-29,80,10
370670016011,2021-03-29,45,14
370779703001,2021-03-29,50,8
371830523023,2021-03-29,166,32
370459506023,2021-03-29,93,14
370710332021,2021-03-29,161,31
370970615012,2021-03-29,169,51
371650106004,2021-03-29,92,24
370190205096,2021-03-29,83,15
370970610022,2021-03-29,62,15
371190058162,2021-03-29,33,8
371270108004,2021-03-29,94,17
371470001003,2021-03-29,162,14
371830534131,2021-03-29,590,165
371950008011,2021-03-29,18,4
370190205094,2021-03-29,54,12
370510008002,2021-03-29,41,11
370570602032,2021-03-29,136,31
370810110001,2021-03-29,23,2
371090712011,2021-03-29,119,25
371190055082,2021-03-29,87,22
371190058171,2021-03-29,47,10
371510313061,2021-03-29,229,43
371619611012,2021-03-29,73,14
371790202023,2021-03-29,100,22
371939604005,2021-03-29,89,24
370570620013,2021-03-29,132,22
370630016043,2021-03-29,107,23
370810103002,2021-03-29,49,5
370810126014,2021-03-29,110,21
371010402023,2021-03-29,122,22
371190030071,2021-03-29,52,10
371259511001,2021-03-29,78,15
371590504001,2021-03-29,48,13
371790210142,2021-03-29,54,16
371819608001,2021-03-29,34,10
370250417021,2021-03-29,96,14
370399301003,2021-03-29,44,15
370810162011,2021-03-29,268,57
370810167021,2021-03-29,109,21
370810128041,2021-03-29,114,34
371190031031,2021-03-29,68,20
371190056042,2021-03-29,110,26
371290120103,2021-03-29,71,7
371830538071,2021-03-29,120,42
370710310042,2021-03-29,98,16
370230203022,2021-03-29,211,41
370710303011,2021-03-29,77,12
370850703001,2021-03-29,123,28
371190033002,2021-03-29,11,1
371350108021,2021-03-29,94,21
371439201004,2021-03-29,118,23
370650215001,2021-03-29,59,13
371590509041,2021-03-29,81,15
371619611022,2021-03-29,37,5
371719305021,2021-03-29,49,8
370670035003,2021-03-29,60,14
370670040111,2021-03-29,120,13
370710314022,2021-03-29,35,11
371190055123,2021-03-29,116,36
371570414001,2021-03-29,491,302
371570416022,2021-03-29,80,16
371830517002,2021-03-29,45,10
371950008023,2021-03-29,63,13
370119301003,2021-03-29,38,3
370210027012,2021-03-29,91,21
370459505002,2021-03-29,125,16
370510033123,2021-03-29,78,23
370531103011,2021-03-29,94,28
370670040091,2021-03-29,171,50
370899309002,2021-03-29,97,20
371010402022,2021-03-29,314,51
371239604012,2021-03-29,41,9
371470005013,2021-03-29,89,15
371830543021,2021-03-29,52,13
370210027011,2021-03-29,88,7
370270301002,2021-03-29,722,516
370670004002,2021-03-29,23,7
371190058431,2021-03-29,131,34
371330023002,2021-03-29,168,31
371350110005,2021-03-29,73,19
371570407003,2021-03-29,35,8
371790203051,2021-03-29,201,42
371910009012,2021-03-29,65,17
371910020001,2021-03-29,19,9
370010203003,2021-03-29,85,16
370499611001,2021-03-29,331,85
370810114004,2021-03-29,25,7
371290107002,2021-03-29,64,18
371539702001,2021-03-29,86,15
371830530093,2021-03-29,58,14
371910006012,2021-03-29,26,11
371939607002,2021-03-29,74,12
370190205071,2021-03-29,67,14
370270308001,2021-03-29,100,20
370510010002,2021-03-29,64,21
370630017062,2021-03-29,76,22
370710316003,2021-03-29,90,18
370810126011,2021-03-29,40,12
370839305023,2021-03-29,78,12
370899314004,2021-03-29,50,11
371510310002,2021-03-29,82,25
371719310032,2021-03-29,89,18
371830541063,2021-03-29,125,42
370099704001,2021-03-29,76,24
370650206001,2021-03-29,58,14
370650208001,2021-03-29,67,11
370810145012,2021-03-29,33,9
370879202005,2021-03-29,76,23
371510315053,2021-03-29,54,7
371590518011,2021-03-29,201,30
371639702004,2021-03-29,136,18
370010212053,2021-03-29,232,58
370099708001,2021-03-29,61,14
370459509003,2021-03-29,183,125
370570603011,2021-03-29,259,69
370810126013,2021-03-29,32,6
370879205003,2021-03-29,116,34
370970614012,2021-03-29,154,30
371319203003,2021-03-29,57,14
371570403002,2021-03-29,62,15
371590511011,2021-03-29,163,29
370210016004,2021-03-29,53,14
370570605001,2021-03-29,104,21
370939701012,2021-03-29,300,85
370970616021,2021-03-29,780,305
371139707002,2021-03-29,72,8
371190030153,2021-03-29,76,13
371190037002,2021-03-29,67,17
371190055181,2021-03-29,159,44
371570407001,2021-03-29,111,33
370250423003,2021-03-29,57,14
370499605004,2021-03-29,95,27
370899309001,2021-03-29,49,9
371010409012,2021-03-29,242,50
371290111001,2021-03-29,39,17
371510311002,2021-03-29,91,22
370190203051,2021-03-29,155,32
370230206001,2021-03-29,88,22
370499601012,2021-03-29,121,44
370510033124,2021-03-29,44,11
370610903001,2021-03-29,49,19
370899314003,2021-03-29,91,14
371010413004,2021-03-29,131,31
371050306021,2021-03-29,81,9
371559615004,2021-03-29,40,5
370370208002,2021-03-29,131,38
370810160081,2021-03-29,160,48
371139707005,2021-03-29,78,12
371650106001,2021-03-29,25,1
371830506001,2021-03-29,32,2
371830538061,2021-03-29,343,139
371950004001,2021-03-29,47,10
370479308004,2021-03-29,45,8
370810165061,2021-03-29,55,21
370999505001,2021-03-29,102,17
371050305032,2021-03-29,100,17
371050306023,2021-03-29,135,22
371510310004,2021-03-29,51,14
371830515012,2021-03-29,100,6
371999604001,2021-03-29,66,14
370399301002,2021-03-29,44,3
370479310003,2021-03-29,78,16
370630021002,2021-03-29,112,29
370670040072,2021-03-29,156,43
371190019171,2021-03-29,75,29
371190046001,2021-03-29,41,14
371399602001,2021-03-29,73,27
370810144073,2021-03-29,68,11
371070101003,2021-03-29,44,11
371190057061,2021-03-29,119,29
371319202002,2021-03-29,23,2
371399607011,2021-03-29,136,27
371690706001,2021-03-29,130,25
370079203001,2021-03-29,103,19
370270309003,2021-03-29,83,14
370370201051,2021-03-29,51,18
370570616002,2021-03-29,47,9
370670012002,2021-03-29,44,4
370899307012,2021-03-29,94,26
371190058451,2021-03-29,94,24
371190062081,2021-03-29,205,57
371470016004,2021-03-29,110,20
371590511012,2021-03-29,78,18
371690701005,2021-03-29,61,16
371830529031,2021-03-29,221,56
371839801001,2021-03-29,27,1
371950001002,2021-03-29,36,15
370059501002,2021-03-29,70,18
370190205041,2021-03-29,75,18
370210025042,2021-03-29,111,29
370510038003,2021-03-29,41,6
371010401004,2021-03-29,86,19
370350103042,2021-03-29,63,11
370350113003,2021-03-29,159,29
370570617011,2021-03-29,162,39
371070106002,2021-03-29,55,19
371190023001,2021-03-29,29,8
371379502022,2021-03-29,70,14
371830535201,2021-03-29,100,27
371950012003,2021-03-29,86,16
370319708041,2021-03-29,101,20
370630016032,2021-03-29,265,91
371330003011,2021-03-29,99,18
370250426022,2021-03-29,94,23
370630001011,2021-03-29,39,6
370710331002,2021-03-29,53,15
371190025001,2021-03-29,194,46
371190062032,2021-03-29,149,32
371290116062,2021-03-29,92,16
371379502021,2021-03-29,30,7
371830528033,2021-03-29,168,54
371950009001,2021-03-29,85,12
370839309001,2021-03-29,28,4
371290103001,2021-03-29,105,24
371419202031,2021-03-29,400,99
370350116023,2021-03-29,128,17
370350117012,2021-03-29,128,23
371050305033,2021-03-29,126,19
371070114001,2021-03-29,56,10
371290101003,2021-03-29,15,3
371590510014,2021-03-29,158,31
371719311012,2021-03-29,94,21
371830532061,2021-03-29,394,99
371879501002,2021-03-29,31,4
370190203071,2021-03-29,27,2
370210027021,2021-03-29,124,30
370270303004,2021-03-29,79,22
370479308002,2021-03-29,92,12
371190054042,2021-03-29,100,28
371350107053,2021-03-29,26,9
371559602013,2021-03-29,100,28
371559620012,2021-03-29,36,10
371830537221,2021-03-29,55,9
370250426011,2021-03-29,219,36
370399303002,2021-03-29,15,4
370779703003,2021-03-29,83,17
370810106022,2021-03-29,44,4
371590514004,2021-03-29,111,23
371899207031,2021-03-29,108,22
370079204002,2021-03-29,49,16
