GEOID,DATE,DEV,COMPHOME
370270313003,2021-03-23,61,4
370459505003,2021-03-23,92,18
370630004012,2021-03-23,44,5
370650207002,2021-03-23,41,6
371830524011,2021-03-23,226,69
370610905022,2021-03-23,82,11
370670016011,2021-03-23,47,11
370779703001,2021-03-23,47,5
371830523023,2021-03-23,163,29
370459506023,2021-03-23,96,17
370710332021,2021-03-23,148,33
370970615012,2021-03-23,174,44
371650106004,2021-03-23,104,25
370190205096,2021-03-23,82,17
370970610022,2021-03-23,73,13
371190058162,2021-03-23,34,6
371270108004,2021-03-23,86,19
371470001003,2021-03-23,172,24
371830534131,2021-03-23,595,188
371950008011,2021-03-23,20,1
370010212053,2021-03-23,235,56
370099708001,2021-03-23,60,15
370459509003,2021-03-23,136,81
370570603011,2021-03-23,243,54
370810126013,2021-03-23,45,8
370879205003,2021-03-23,117,25
370970614012,2021-03-23,156,25
371319203003,2021-03-23,44,12
371570403002,2021-03-23,68,18
371590511011,2021-03-23,158,26
370710310042,2021-03-23,98,20
370190205094,2021-03-23,37,16
370510008002,2021-03-23,46,13
370570602032,2021-03-23,140,24
370810110001,2021-03-23,15,7
371090712011,2021-03-23,129,25
371190055082,2021-03-23,95,25
371190058171,2021-03-23,46,12
371510313061,2021-03-23,231,35
371619611012,2021-03-23,77,17
371790202023,2021-03-23,107,22
371939604005,2021-03-23,92,23
370190203051,2021-03-23,155,32
370230206001,2021-03-23,81,27
370499601012,2021-03-23,112,38
370510033124,2021-03-23,51,17
370610903001,2021-03-23,35,11
370899314003,2021-03-23,90,14
371010413004,2021-03-23,129,22
371050306021,2021-03-23,84,14
371559615004,2021-03-23,39,3
370099704001,2021-03-23,68,14
370650206001,2021-03-23,63,15
370650208001,2021-03-23,62,7
370810145012,2021-03-23,30,8
370879202005,2021-03-23,66,15
371510315053,2021-03-23,56,6
371590518011,2021-03-23,207,34
371639702004,2021-03-23,145,25
370810128041,2021-03-23,108,34
371190031031,2021-03-23,77,13
371190056042,2021-03-23,116,27
371290120103,2021-03-23,66,14
371830538071,2021-03-23,114,29
370630006001,2021-03-23,53,23
370899307033,2021-03-23,116,25
371559602011,2021-03-23,76,25
371830530081,2021-03-23,137,43
370010203003,2021-03-23,72,18
370499611001,2021-03-23,314,74
370810114004,2021-03-23,25,6
371290107002,2021-03-23,63,16
371539702001,2021-03-23,82,10
371830530093,2021-03-23,49,14
371910006012,2021-03-23,36,9
371939607002,2021-03-23,69,18
370210016004,2021-03-23,50,15
370570605001,2021-03-23,103,18
370939701012,2021-03-23,297,79
370970616021,2021-03-23,740,288
371139707002,2021-03-23,65,10
371190030153,2021-03-23,69,15
371190037002,2021-03-23,59,15
371190055181,2021-03-23,158,56
371570407001,2021-03-23,102,29
370190203071,2021-03-23,32,3
370210027021,2021-03-23,143,37
370270303004,2021-03-23,69,13
370479308002,2021-03-23,96,13
371190054042,2021-03-23,86,23
371350107053,2021-03-23,28,9
371559602013,2021-03-23,98,26
371559620012,2021-03-23,32,10
371830537221,2021-03-23,57,10
371190004001,2021-03-23,70,14
371259504011,2021-03-23,34,8
371559607013,2021-03-23,112,24
371790204011,2021-03-23,322,61
371790208002,2021-03-23,40,5
370119301003,2021-03-23,29,9
370210027012,2021-03-23,91,22
370459505002,2021-03-23,113,12
370510033123,2021-03-23,90,20
370531103011,2021-03-23,96,28
370670040091,2021-03-23,152,50
370899309002,2021-03-23,103,20
371010402022,2021-03-23,309,67
371239604012,2021-03-23,46,10
371470005013,2021-03-23,86,20
371830543021,2021-03-23,51,8
370570620013,2021-03-23,129,20
370630016043,2021-03-23,117,32
370810103002,2021-03-23,53,13
370810126014,2021-03-23,105,28
371010402023,2021-03-23,117,26
371190030071,2021-03-23,45,6
371259511001,2021-03-23,77,14
371590504001,2021-03-23,38,7
371790210142,2021-03-23,55,17
371819608001,2021-03-23,34,15
370650215001,2021-03-23,57,13
371590509041,2021-03-23,77,13
371619611022,2021-03-23,47,11
371719305021,2021-03-23,35,4
370499610022,2021-03-23,57,14
371010408002,2021-03-23,383,187
371270105021,2021-03-23,117,30
371330012004,2021-03-23,74,20
371899209004,2021-03-23,59,10
370319708041,2021-03-23,94,14
370630016032,2021-03-23,259,71
371330003011,2021-03-23,105,19
370059501002,2021-03-23,63,12
370190205041,2021-03-23,76,28
370210025042,2021-03-23,104,22
370510038003,2021-03-23,43,13
371010401004,2021-03-23,73,18
370210027011,2021-03-23,85,25
370270301002,2021-03-23,662,452
370670004002,2021-03-23,22,6
371190058431,2021-03-23,132,23
371330023002,2021-03-23,158,36
371350110005,2021-03-23,68,22
371570407003,2021-03-23,44,6
371790203051,2021-03-23,206,46
371910009012,2021-03-23,67,11
371910020001,2021-03-23,20,3
370250417021,2021-03-23,94,14
370399301003,2021-03-23,45,18
370810162011,2021-03-23,252,49
370810167021,2021-03-23,105,16
370370208002,2021-03-23,119,36
370810160081,2021-03-23,152,41
371139707005,2021-03-23,97,25
371650106001,2021-03-23,30,5
371830506001,2021-03-23,24,5
371830538061,2021-03-23,337,130
371950004001,2021-03-23,44,6
370230203022,2021-03-23,202,36
370710303011,2021-03-23,87,17
370850703001,2021-03-23,105,22
371190033002,2021-03-23,13,1
371350108021,2021-03-23,90,16
371439201004,2021-03-23,113,27
370350116023,2021-03-23,126,21
370350117012,2021-03-23,129,25
371050305033,2021-03-23,143,35
371070114001,2021-03-23,55,10
371290101003,2021-03-23,24,5
371590510014,2021-03-23,150,26
371719311012,2021-03-23,95,20
371830532061,2021-03-23,396,105
371879501002,2021-03-23,29,7
370079203001,2021-03-23,103,16
370270309003,2021-03-23,89,22
370370201051,2021-03-23,56,27
370570616002,2021-03-23,49,13
370670012002,2021-03-23,42,5
370899307012,2021-03-23,99,19
371190058451,2021-03-23,81,23
371190062081,2021-03-23,192,50
371470016004,2021-03-23,113,20
371590511012,2021-03-23,68,14
371690701005,2021-03-23,69,16
371830529031,2021-03-23,208,43
371839801001,2021-03-23,24,5
371950001002,2021-03-23,32,8
370839309001,2021-03-23,25,6
371290103001,2021-03-23,107,29
371419202031,2021-03-23,415,81
370479308004,2021-03-23,41,5
370810165061,2021-03-23,50,14
370999505001,2021-03-23,113,18
371050305032,2021-03-23,89,18
371050306023,2021-03-23,135,28
371510310004,2021-03-23,55,10
371830515012,2021-03-23,109,15
371999604001,2021-03-23,56,16
370190205071,2021-03-23,62,12
370270308001,2021-03-23,95,15
370510010002,2021-03-23,71,27
370630017062,2021-03-23,81,26
370710316003,2021-03-23,93,19
370810126011,2021-03-23,41,11
370839305023,2021-03-23,74,15
370899314004,2021-03-23,57,13
371510310002,2021-03-23,86,25
371719310032,2021-03-23,103,26
371830541063,2021-03-23,128,42
370899305022,2021-03-23,105,26
371190015073,2021-03-23,70,16
371510315012,2021-03-23,136,18
370690604021,2021-03-23,111,25
370710325081,2021-03-23,58,11
371190012003,2021-03-23,76,20
370350103042,2021-03-23,62,13
370350113003,2021-03-23,149,32
370570617011,2021-03-23,165,29
371070106002,2021-03-23,50,19
371190023001,2021-03-23,22,6
371379502022,2021-03-23,68,20
371830535201,2021-03-23,101,25
371950012003,2021-03-23,77,14
370670035003,2021-03-23,53,21
370670040111,2021-03-23,126,33
370710314022,2021-03-23,37,12
371190055123,2021-03-23,121,33
371570414001,2021-03-23,465,299
371570416022,2021-03-23,64,16
371830517002,2021-03-23,45,7
371950008023,2021-03-23,72,12
370810166001,2021-03-23,199,80
371010415011,2021-03-23,120,21
371190058252,2021-03-23,147,44
371190058481,2021-03-23,178,40
371510313031,2021-03-23,205,47
371830537261,2021-03-23,90,26
370179505002,2021-03-23,104,39
370210026064,2021-03-23,57,11
370350118013,2021-03-23,111,26
370810158002,2021-03-23,58,15
371010408001,2021-03-23,55,22
371470003012,2021-03-23,115,23
371570409001,2021-03-23,44,11
371830530051,2021-03-23,31,11
370690603022,2021-03-23,65,13
371719311031,2021-03-23,123,21
370810106011,2021-03-23,22,7
370899305012,2021-03-23,67,22
370970610011,2021-03-23,170,27
371190055113,2021-03-23,63,19
371539708001,2021-03-23,49,10
371719310012,2021-03-23,47,7
370250423003,2021-03-23,47,15
370499605004,2021-03-23,93,34
370899309001,2021-03-23,47,9
371010409012,2021-03-23,221,42
371290111001,2021-03-23,40,16
371510311002,2021-03-23,86,14
370079204002,2021-03-23,47,9
370590802004,2021-03-23,70,14
370630011002,2021-03-23,52,19
371190053082,2021-03-23,22,5
371330017002,2021-03-23,58,14
371759604021,2021-03-23,65,22
371910008002,2021-03-23,123,14
370179501003,2021-03-23,124,26
370230212021,2021-03-23,72,17
370479306001,2021-03-23,21,4
370510033022,2021-03-23,123,29
370510033131,2021-03-23,175,47
370570615001,2021-03-23,47,12
371010411021,2021-03-23,598,130
371190059112,2021-03-23,191,58
371830519002,2021-03-23,52,15
370970612021,2021-03-23,102,16
370970615021,2021-03-23,103,16
371070103002,2021-03-23,19,10
371330008001,2021-03-23,100,16
371830534081,2021-03-23,141,50
371830540131,2021-03-23,301,75
371910011022,2021-03-23,79,17
370179506004,2021-03-23,52,9
370190205093,2021-03-23,54,8
370210022041,2021-03-23,189,39
370399304005,2021-03-23,72,16
370499610013,2021-03-23,381,79
370710321003,2021-03-23,67,12
370710326004,2021-03-23,87,17
370810163052,2021-03-23,112,41
371190053012,2021-03-23,58,15
371790210151,2021-03-23,127,37
371830528011,2021-03-23,58,15
371830531101,2021-03-23,150,36
371830540161,2021-03-23,50,9
371830540181,2021-03-23,85,33
370399301002,2021-03-23,36,7
370479310003,2021-03-23,78,14
370630021002,2021-03-23,116,29
370670040072,2021-03-23,155,42
371190019171,2021-03-23,96,33
371190046001,2021-03-23,42,15
371399602001,2021-03-23,52,15
370210016002,2021-03-23,63,25
370210017002,2021-03-23,45,16
370210022043,2021-03-23,53,19
370710310032,2021-03-23,227,36
371119706001,2021-03-23,62,15
370230212022,2021-03-23,89,17
370510023003,2021-03-23,52,9
370810167011,2021-03-23,165,43
371010402014,2021-03-23,51,11
371070114004,2021-03-23,35,7
371259505012,2021-03-23,49,9
371570401023,2021-03-23,44,10
371679303001,2021-03-23,114,23
371679312022,2021-03-23,61,19
371830528014,2021-03-23,21,3
371830536062,2021-03-23,45,14
370250408002,2021-03-23,109,25
370250408003,2021-03-23,88,22
370559702001,2021-03-23,39,9
370759201001,2021-03-23,22,7
370899304023,2021-03-23,414,252
371010415023,2021-03-23,256,75
371190055143,2021-03-23,104,34
371830507002,2021-03-23,42,17
371830524042,2021-03-23,38,7
371830540121,2021-03-23,94,25
370210009003,2021-03-23,46,19
370670035005,2021-03-23,104,23
371190012001,2021-03-23,58,11
370459510002,2021-03-23,62,15
371190006002,2021-03-23,58,20
371590512011,2021-03-23,182,31
371899207033,2021-03-23,110,15
370350107002,2021-03-23,55,19
370459503022,2021-03-23,91,22
370670037031,2021-03-23,148,37
371190030074,2021-03-23,80,21
371679308012,2021-03-23,190,38
371790203072,2021-03-23,243,43
371259502001,2021-03-23,115,33
371830530072,2021-03-23,76,20
370250426011,2021-03-23,220,46
370399303002,2021-03-23,16,3
370779703003,2021-03-23,76,17
370810106022,2021-03-23,45,10
371590514004,2021-03-23,104,22
371899207031,2021-03-23,102,21
370270303001,2021-03-23,64,12
370479306004,2021-03-23,70,3
371190020033,2021-03-23,59,22
371590503002,2021-03-23,101,32
371070113001,2021-03-23,103,23
371190048003,2021-03-23,54,14
371239604021,2021-03-23,117,30
370710301021,2021-03-23,229,46
371719306003,2021-03-23,80,8
371899204002,2021-03-23,71,18
371910004023,2021-03-23,60,12
370210026072,2021-03-23,83,12
370230213011,2021-03-23,94,11
370350111024,2021-03-23,413,190
370810160082,2021-03-23,145,37
371190063041,2021-03-23,76,22
371350107042,2021-03-23,54,17
371350116022,2021-03-23,85,19
371419202021,2021-03-23,162,31
371499202003,2021-03-23,65,19
370479309001,2021-03-23,63,13
370630016013,2021-03-23,82,18
371619607002,2021-03-23,61,15
371939604001,2021-03-23,73,14
370210013001,2021-03-23,71,16
370510032052,2021-03-23,119,42
370710312011,2021-03-23,73,13
371190010002,2021-03-23,23,12
371830523022,2021-03-23,130,27
370210032042,2021-03-23,78,17
370810127061,2021-03-23,90,31
371190019152,2021-03-23,75,31
371190058422,2021-03-23,69,11
370570620023,2021-03-23,47,4
370899307021,2021-03-23,165,31
371070111004,2021-03-23,88,13
371830521011,2021-03-23,178,60
370319707022,2021-03-23,79,18
370510020023,2021-03-23,61,20
370570601024,2021-03-23,80,18
370630007002,2021-03-23,44,15
370710302051,2021-03-23,107,30
370839310003,2021-03-23,14,2
371190058341,2021-03-23,183,50
371270115002,2021-03-23,89,30
371510307001,2021-03-23,128,20
371950011001,2021-03-23,35,8
370350118012,2021-03-23,175,34
370810164072,2021-03-23,98,20
371010402031,2021-03-23,1361,306
371190058172,2021-03-23,195,47
371270108001,2021-03-23,101,23
371830535071,2021-03-23,35,14
370510025031,2021-03-23,87,16
371010411031,2021-03-23,386,79
371119709011,2021-03-23,73,14
371190030181,2021-03-23,127,36
371270113001,2021-03-23,158,27
371470007014,2021-03-23,13,5
371830540171,2021-03-23,104,30
370210004002,2021-03-23,18,8
371050301022,2021-03-23,102,25
371090708002,2021-03-23,85,10
371190059091,2021-03-23,276,76
371330004012,2021-03-23,335,81
371470014022,2021-03-23,55,13
371679307003,2021-03-23,127,21
371790210111,2021-03-23,193,41
371830534091,2021-03-23,99,32
370270302004,2021-03-23,89,18
370270307004,2021-03-23,156,33
370610907021,2021-03-23,64,13
371190038064,2021-03-23,72,17
371190058471,2021-03-23,77,10
371590517002,2021-03-23,213,42
370010219013,2021-03-23,130,19
370459515012,2021-03-23,76,11
370810116011,2021-03-23,156,48
371050302002,2021-03-23,35,15
371139704002,2021-03-23,74,12
370590806001,2021-03-23,39,7
370670009004,2021-03-23,40,8
370810165024,2021-03-23,45,10
370839301001,2021-03-23,32,14
371830516003,2021-03-23,56,4
370499606002,2021-03-23,39,6
370510019022,2021-03-23,93,32
370710327033,2021-03-23,32,4
370779706031,2021-03-23,84,25
370810143003,2021-03-23,17,3
371190030171,2021-03-23,42,9
371190054011,2021-03-23,127,41
371239602002,2021-03-23,48,13
371470005021,2021-03-23,168,32
371559613022,2021-03-23,67,23
371819606001,2021-03-23,50,15
371830541061,2021-03-23,123,48
370459516024,2021-03-23,69,13
370690606003,2021-03-23,162,38
370710310011,2021-03-23,76,14
