GEOID,DATE,DEV,COMPHOME
370270313003,2021-04-05,67,14
370459505003,2021-04-05,104,28
370630004012,2021-04-05,51,7
370650207002,2021-04-05,49,8
371830524011,2021-04-05,224,40
370810128041,2021-04-05,102,32
371190031031,2021-04-05,69,23
371190056042,2021-04-05,117,18
371290120103,2021-04-05,66,4
371830538071,2021-04-05,114,30
370190205094,2021-04-05,52,13
370510008002,2021-04-05,40,12
370570602032,2021-04-05,141,30
370810110001,2021-04-05,21,8
371090712011,2021-04-05,121,20
371190055082,2021-04-05,94,24
371190058171,2021-04-05,51,15
371510313061,2021-04-05,230,46
371619611012,2021-04-05,67,8
371790202023,2021-04-05,105,23
371939604005,2021-04-05,85,20
370710310042,2021-04-05,106,23
370459506023,2021-04-05,92,12
370710332021,2021-04-05,144,30
370970615012,2021-04-05,171,50
371650106004,2021-04-05,98,19
370610905022,2021-04-05,101,17
370670016011,2021-04-05,45,13
370779703001,2021-04-05,44,4
371830523023,2021-04-05,161,23
370190205096,2021-04-05,78,26
370970610022,2021-04-05,65,12
371190058162,2021-04-05,34,7
371270108004,2021-04-05,93,19
371470001003,2021-04-05,170,16
371830534131,2021-04-05,592,176
371950008011,2021-04-05,16,2
370079203001,2021-04-05,112,18
370270309003,2021-04-05,85,10
370370201051,2021-04-05,64,15
370570616002,2021-04-05,51,5
370670012002,2021-04-05,38,3
370899307012,2021-04-05,99,23
371190058451,2021-04-05,88,20
371190062081,2021-04-05,195,56
371470016004,2021-04-05,115,23
371590511012,2021-04-05,67,16
371690701005,2021-04-05,68,13
371830529031,2021-04-05,205,53
371839801001,2021-04-05,26,5
371950001002,2021-04-05,31,18
370210016004,2021-04-05,68,26
370570605001,2021-04-05,110,17
370939701012,2021-04-05,295,87
370970616021,2021-04-05,570,170
371139707002,2021-04-05,68,14
371190030153,2021-04-05,62,8
371190037002,2021-04-05,69,13
371190055181,2021-04-05,173,66
371570407001,2021-04-05,104,20
370839309001,2021-04-05,26,7
371290103001,2021-04-05,105,27
371419202031,2021-04-05,400,99
370230203022,2021-04-05,196,44
370710303011,2021-04-05,74,14
370850703001,2021-04-05,115,25
371190033002,2021-04-05,10,1
371350108021,2021-04-05,97,17
371439201004,2021-04-05,117,29
370119301003,2021-04-05,33,1
370210027012,2021-04-05,91,14
370459505002,2021-04-05,118,29
370510033123,2021-04-05,87,29
370531103011,2021-04-05,89,18
370670040091,2021-04-05,132,28
370899309002,2021-04-05,108,22
371010402022,2021-04-05,321,80
371239604012,2021-04-05,41,5
371470005013,2021-04-05,93,16
371830543021,2021-04-05,45,12
370010212053,2021-04-05,232,51
370099708001,2021-04-05,53,15
370459509003,2021-04-05,104,63
370570603011,2021-04-05,239,40
370810126013,2021-04-05,35,7
370879205003,2021-04-05,103,16
370970614012,2021-04-05,154,29
371319203003,2021-04-05,53,16
371570403002,2021-04-05,63,21
371590511011,2021-04-05,153,30
370190203051,2021-04-05,162,43
370230206001,2021-04-05,94,25
370499601012,2021-04-05,119,43
370510033124,2021-04-05,46,11
370610903001,2021-04-05,40,18
370899314003,2021-04-05,83,9
371010413004,2021-04-05,141,22
371050306021,2021-04-05,89,20
371559615004,2021-04-05,50,7
370099704001,2021-04-05,79,21
370650206001,2021-04-05,49,19
370650208001,2021-04-05,53,7
370810145012,2021-04-05,29,3
370879202005,2021-04-05,70,16
371510315053,2021-04-05,50,7
371590518011,2021-04-05,213,46
371639702004,2021-04-05,142,24
370670035003,2021-04-05,58,15
370670040111,2021-04-05,132,24
370710314022,2021-04-05,35,11
371190055123,2021-04-05,117,39
371570414001,2021-04-05,293,131
371570416022,2021-04-05,73,13
371830517002,2021-04-05,45,11
371950008023,2021-04-05,70,17
370350116023,2021-04-05,122,17
370350117012,2021-04-05,125,23
371050305033,2021-04-05,129,33
371070114001,2021-04-05,59,12
371290101003,2021-04-05,17,2
371590510014,2021-04-05,158,24
371719311012,2021-04-05,104,20
371830532061,2021-04-05,373,107
371879501002,2021-04-05,26,7
370370208002,2021-04-05,133,31
370810160081,2021-04-05,153,47
371139707005,2021-04-05,93,24
371650106001,2021-04-05,26,12
371830506001,2021-04-05,29,2
371830538061,2021-04-05,216,65
371950004001,2021-04-05,46,11
370570620013,2021-04-05,138,25
370630016043,2021-04-05,112,20
370810103002,2021-04-05,51,7
370810126014,2021-04-05,116,36
