GEOID,DATE,DEV,COMPHOME
370270313003,2021-03-22,61,5
370459505003,2021-03-22,93,19
370630004012,2021-03-22,48,4
370650207002,2021-03-22,43,8
371830524011,2021-03-22,240,75
370610905022,2021-03-22,81,12
370670016011,2021-03-22,41,10
370779703001,2021-03-22,52,15
371830523023,2021-03-22,167,43
370190205096,2021-03-22,77,17
370970610022,2021-03-22,67,15
371190058162,2021-03-22,30,7
371270108004,2021-03-22,85,22
371470001003,2021-03-22,167,21
371830534131,2021-03-22,591,178
371950008011,2021-03-22,24,4
370190203051,2021-03-22,165,29
370230206001,2021-03-22,86,13
370499601012,2021-03-22,113,45
370510033124,2021-03-22,52,15
370610903001,2021-03-22,33,11
370899314003,2021-03-22,104,22
371010413004,2021-03-22,131,20
371050306021,2021-03-22,84,16
371559615004,2021-03-22,38,4
370190205094,2021-03-22,41,12
370510008002,2021-03-22,53,13
370570602032,2021-03-22,127,15
370810110001,2021-03-22,15,6
371090712011,2021-03-22,125,35
371190055082,2021-03-22,90,31
371190058171,2021-03-22,54,14
371510313061,2021-03-22,226,37
371619611012,2021-03-22,70,14
371790202023,2021-03-22,106,27
371939604005,2021-03-22,85,13
370459506023,2021-03-22,96,19
370710332021,2021-03-22,138,28
370970615012,2021-03-22,164,30
371650106004,2021-03-22,98,16
370230203022,2021-03-22,204,36
370710303011,2021-03-22,83,15
370850703001,2021-03-22,109,26
371190033002,2021-03-22,11,3
371350108021,2021-03-22,92,14
371439201004,2021-03-22,120,31
370370208002,2021-03-22,120,36
370810160081,2021-03-22,166,52
371139707005,2021-03-22,83,18
371650106001,2021-03-22,25,7
371830506001,2021-03-22,25,3
371830538061,2021-03-22,306,132
371950004001,2021-03-22,46,12
370010212053,2021-03-22,235,68
370099708001,2021-03-22,59,10
370459509003,2021-03-22,157,89
370570603011,2021-03-22,243,54
370810126013,2021-03-22,48,14
370879205003,2021-03-22,115,27
370970614012,2021-03-22,147,25
371319203003,2021-03-22,41,11
371570403002,2021-03-22,69,14
371590511011,2021-03-22,146,28
370710310042,2021-03-22,98,17
370119301003,2021-03-22,29,3
370210027012,2021-03-22,97,22
370459505002,2021-03-22,111,18
370510033123,2021-03-22,74,22
370531103011,2021-03-22,95,24
370670040091,2021-03-22,138,39
370899309002,2021-03-22,94,15
371010402022,2021-03-22,310,62
371239604012,2021-03-22,47,13
371470005013,2021-03-22,83,13
371830543021,2021-03-22,49,9
370570620013,2021-03-22,124,23
370630016043,2021-03-22,114,21
370810103002,2021-03-22,58,11
370810126014,2021-03-22,112,25
371010402023,2021-03-22,118,24
371190030071,2021-03-22,52,3
371259511001,2021-03-22,86,17
371590504001,2021-03-22,42,8
371790210142,2021-03-22,48,14
371819608001,2021-03-22,29,10
371190004001,2021-03-22,75,14
371259504011,2021-03-22,42,8
371559607013,2021-03-22,110,21
371790204011,2021-03-22,333,61
371790208002,2021-03-22,41,5
370099704001,2021-03-22,67,15
370650206001,2021-03-22,57,16
370650208001,2021-03-22,61,8
370810145012,2021-03-22,27,3
370879202005,2021-03-22,71,24
371510315053,2021-03-22,58,10
371590518011,2021-03-22,202,33
371639702004,2021-03-22,144,23
370059501002,2021-03-22,57,10
370190205041,2021-03-22,74,22
370210025042,2021-03-22,106,20
370510038003,2021-03-22,41,11
371010401004,2021-03-22,82,24
370479308004,2021-03-22,49,4
370810165061,2021-03-22,47,4
370999505001,2021-03-22,108,24
371050305032,2021-03-22,98,27
371050306023,2021-03-22,140,29
371510310004,2021-03-22,60,12
371830515012,2021-03-22,107,24
371999604001,2021-03-22,63,11
370810128041,2021-03-22,98,32
371190031031,2021-03-22,75,15
371190056042,2021-03-22,117,28
371290120103,2021-03-22,66,8
371830538071,2021-03-22,102,21
370670035003,2021-03-22,58,12
370670040111,2021-03-22,124,25
370710314022,2021-03-22,38,12
371190055123,2021-03-22,129,40
371570414001,2021-03-22,440,285
371570416022,2021-03-22,64,8
371830517002,2021-03-22,48,4
371950008023,2021-03-22,75,16
370210027011,2021-03-22,86,18
370270301002,2021-03-22,697,458
370670004002,2021-03-22,17,8
371190058431,2021-03-22,128,35
371330023002,2021-03-22,168,37
371350110005,2021-03-22,68,26
371570407003,2021-03-22,36,6
371790203051,2021-03-22,210,46
371910009012,2021-03-22,61,13
371910020001,2021-03-22,19,4
370650215001,2021-03-22,57,13
371590509041,2021-03-22,77,18
371619611022,2021-03-22,39,10
371719305021,2021-03-22,37,9
370010203003,2021-03-22,88,20
370499611001,2021-03-22,332,92
370810114004,2021-03-22,26,7
371290107002,2021-03-22,68,10
371539702001,2021-03-22,85,15
371830530093,2021-03-22,51,13
371910006012,2021-03-22,23,4
371939607002,2021-03-22,82,14
370079203001,2021-03-22,102,17
370270309003,2021-03-22,90,23
370370201051,2021-03-22,59,28
370570616002,2021-03-22,43,6
370670012002,2021-03-22,47,8
370899307012,2021-03-22,101,32
371190058451,2021-03-22,85,30
371190062081,2021-03-22,189,43
371470016004,2021-03-22,117,19
371590511012,2021-03-22,73,16
371690701005,2021-03-22,60,11
371830529031,2021-03-22,216,57
371839801001,2021-03-22,21,3
371950001002,2021-03-22,28,5
370319708041,2021-03-22,96,19
370630016032,2021-03-22,267,82
371330003011,2021-03-22,101,25
370210016004,2021-03-22,53,10
370570605001,2021-03-22,107,16
370939701012,2021-03-22,290,77
370970616021,2021-03-22,740,296
371139707002,2021-03-22,64,11
371190030153,2021-03-22,67,11
371190037002,2021-03-22,61,19
371190055181,2021-03-22,154,49
371570407001,2021-03-22,106,28
370250417021,2021-03-22,96,16
370399301003,2021-03-22,51,11
370810162011,2021-03-22,266,61
370810167021,2021-03-22,105,22
370839309001,2021-03-22,33,9
371290103001,2021-03-22,105,28
371419202031,2021-03-22,407,85
370399301002,2021-03-22,27,6
370479310003,2021-03-22,77,21
370630021002,2021-03-22,114,27
370670040072,2021-03-22,150,32
371190019171,2021-03-22,94,39
371190046001,2021-03-22,37,8
371399602001,2021-03-22,60,22
370270303001,2021-03-22,66,10
370479306004,2021-03-22,72,2
371190020033,2021-03-22,64,15
371590503002,2021-03-22,94,27
370459510002,2021-03-22,56,10
371190006002,2021-03-22,62,16
371590512011,2021-03-22,189,44
371899207033,2021-03-22,111,19
370630006001,2021-03-22,65,17
370899307033,2021-03-22,123,31
371559602011,2021-03-22,71,26
371830530081,2021-03-22,137,29
370190203071,2021-03-22,27,6
370210027021,2021-03-22,141,40
370270303004,2021-03-22,73,17
370479308002,2021-03-22,93,17
371190054042,2021-03-22,88,27
371350107053,2021-03-22,27,7
371559602013,2021-03-22,97,31
371559620012,2021-03-22,36,10
371830537221,2021-03-22,54,15
370250425012,2021-03-22,265,89
370810153002,2021-03-22,152,23
370839307003,2021-03-22,27,5
371350117001,2021-03-22,151,21
371830535062,2021-03-22,34,9
370370208003,2021-03-22,117,31
370570605003,2021-03-22,29,7
370670032022,2021-03-22,37,14
371190055231,2021-03-22,86,23
371290113001,2021-03-22,37,12
371590509043,2021-03-22,58,8
370250426022,2021-03-22,89,25
370630001011,2021-03-22,44,13
370710331002,2021-03-22,52,8
371190025001,2021-03-22,185,33
371190062032,2021-03-22,150,27
371290116062,2021-03-22,109,32
371379502021,2021-03-22,40,12
371830528033,2021-03-22,166,68
371950009001,2021-03-22,78,13
370250423003,2021-03-22,56,17
370499605004,2021-03-22,86,27
370899309001,2021-03-22,54,16
371010409012,2021-03-22,224,44
371290111001,2021-03-22,33,15
371510311002,2021-03-22,77,16
370179505002,2021-03-22,95,31
370210026064,2021-03-22,52,12
370350118013,2021-03-22,116,26
370810158002,2021-03-22,75,13
