GEOID,DATE,DEV,COMPHOME
370270313003,2021-03-30,62,9
370459505003,2021-03-30,88,13
370630004012,2021-03-30,56,11
370650207002,2021-03-30,42,10
371830524011,2021-03-30,227,62
370610905022,2021-03-30,84,13
370670016011,2021-03-30,48,12
370779703001,2021-03-30,49,7
371830523023,2021-03-30,163,29
370190205096,2021-03-30,85,28
370970610022,2021-03-30,69,14
371190058162,2021-03-30,44,9
371270108004,2021-03-30,97,20
371470001003,2021-03-30,166,15
371830534131,2021-03-30,598,146
371950008011,2021-03-30,16,9
370459506023,2021-03-30,99,17
370710332021,2021-03-30,157,39
370970615012,2021-03-30,171,48
371650106004,2021-03-30,94,20
370810128041,2021-03-30,112,27
371190031031,2021-03-30,66,24
371190056042,2021-03-30,117,17
371290120103,2021-03-30,66,11
371830538071,2021-03-30,119,31
370710310042,2021-03-30,93,18
370839309001,2021-03-30,31,5
371290103001,2021-03-30,113,38
371419202031,2021-03-30,420,83
370190203071,2021-03-30,23,8
370210027021,2021-03-30,137,34
370270303004,2021-03-30,84,13
370479308002,2021-03-30,94,14
371190054042,2021-03-30,93,28
371350107053,2021-03-30,38,9
371559602013,2021-03-30,94,29
371559620012,2021-03-30,41,6
371830537221,2021-03-30,54,5
370250417021,2021-03-30,96,14
370399301003,2021-03-30,47,17
370810162011,2021-03-30,260,38
370810167021,2021-03-30,108,20
370230203022,2021-03-30,206,42
370710303011,2021-03-30,79,15
370850703001,2021-03-30,125,33
371190033002,2021-03-30,8,2
371350108021,2021-03-30,94,14
371439201004,2021-03-30,114,23
370010212053,2021-03-30,245,63
370099708001,2021-03-30,55,14
370459509003,2021-03-30,170,116
370570603011,2021-03-30,258,54
370810126013,2021-03-30,39,3
370879205003,2021-03-30,113,28
370970614012,2021-03-30,159,28
371319203003,2021-03-30,59,13
371570403002,2021-03-30,67,19
371590511011,2021-03-30,157,33
370119301003,2021-03-30,29,1
370210027012,2021-03-30,101,24
370459505002,2021-03-30,127,19
370510033123,2021-03-30,86,19
370531103011,2021-03-30,100,29
370670040091,2021-03-30,139,39
370899309002,2021-03-30,97,17
371010402022,2021-03-30,322,59
371239604012,2021-03-30,41,7
371470005013,2021-03-30,88,16
371830543021,2021-03-30,58,20
370079203001,2021-03-30,104,16
370270309003,2021-03-30,91,17
370370201051,2021-03-30,57,26
370570616002,2021-03-30,51,14
370670012002,2021-03-30,43,2
370899307012,2021-03-30,97,16
371190058451,2021-03-30,86,21
371190062081,2021-03-30,196,56
371470016004,2021-03-30,110,19
371590511012,2021-03-30,70,9
371690701005,2021-03-30,67,14
371830529031,2021-03-30,225,53
371839801001,2021-03-30,27,4
371950001002,2021-03-30,29,14
370499610022,2021-03-30,72,19
371010408002,2021-03-30,385,202
371270105021,2021-03-30,138,28
371330012004,2021-03-30,70,18
371899209004,2021-03-30,62,9
370370208002,2021-03-30,124,29
370810160081,2021-03-30,158,42
371139707005,2021-03-30,85,17
371650106001,2021-03-30,30,9
371830506001,2021-03-30,28,7
371830538061,2021-03-30,338,136
371950004001,2021-03-30,44,10
370190205071,2021-03-30,56,20
370270308001,2021-03-30,104,13
370510010002,2021-03-30,62,25
370630017062,2021-03-30,83,24
370710316003,2021-03-30,89,18
370810126011,2021-03-30,40,8
370839305023,2021-03-30,76,17
370899314004,2021-03-30,50,16
371510310002,2021-03-30,85,24
371719310032,2021-03-30,93,14
371830541063,2021-03-30,129,36
370210016004,2021-03-30,60,19
370570605001,2021-03-30,107,17
370939701012,2021-03-30,295,79
370970616021,2021-03-30,738,284
371139707002,2021-03-30,76,10
371190030153,2021-03-30,65,19
371190037002,2021-03-30,63,14
371190055181,2021-03-30,155,46
371570407001,2021-03-30,112,21
370190203051,2021-03-30,163,26
370230206001,2021-03-30,91,18
370499601012,2021-03-30,118,38
370510033124,2021-03-30,51,12
370610903001,2021-03-30,51,18
370899314003,2021-03-30,93,14
371010413004,2021-03-30,135,23
371050306021,2021-03-30,80,9
371559615004,2021-03-30,48,7
370479308004,2021-03-30,42,7
370810165061,2021-03-30,60,10
370999505001,2021-03-30,107,25
371050305032,2021-03-30,95,15
371050306023,2021-03-30,138,30
371510310004,2021-03-30,57,15
371830515012,2021-03-30,96,10
371999604001,2021-03-30,61,9
370630006001,2021-03-30,45,13
370899307033,2021-03-30,115,34
371559602011,2021-03-30,85,25
371830530081,2021-03-30,135,25
370010210001,2021-03-30,41,12
370230208011,2021-03-30,187,44
370810158003,2021-03-30,210,40
370970609012,2021-03-30,74,22
371830524041,2021-03-30,80,19
370059501002,2021-03-30,74,21
370190205041,2021-03-30,77,31
370210025042,2021-03-30,107,20
370510038003,2021-03-30,40,8
371010401004,2021-03-30,84,15
371190004001,2021-03-30,67,19
371259504011,2021-03-30,29,7
371559607013,2021-03-30,110,17
371790204011,2021-03-30,327,54
371790208002,2021-03-30,35,4
370350116023,2021-03-30,135,19
370350117012,2021-03-30,125,19
371050305033,2021-03-30,135,22
371070114001,2021-03-30,60,12
371290101003,2021-03-30,17,1
371590510014,2021-03-30,148,22
371719311012,2021-03-30,98,16
371830532061,2021-03-30,393,98
371879501002,2021-03-30,25,3
370250423003,2021-03-30,43,10
370499605004,2021-03-30,88,28
370899309001,2021-03-30,49,13
371010409012,2021-03-30,251,51
371290111001,2021-03-30,36,15
371510311002,2021-03-30,78,17
370190205094,2021-03-30,41,7
370510008002,2021-03-30,40,15
370570602032,2021-03-30,142,25
370810110001,2021-03-30,27,9
371090712011,2021-03-30,126,28
371190055082,2021-03-30,82,18
371190058171,2021-03-30,54,12
371510313061,2021-03-30,237,37
371619611012,2021-03-30,73,12
371790202023,2021-03-30,102,16
371939604005,2021-03-30,88,21
370670035003,2021-03-30,64,15
370670040111,2021-03-30,122,22
370710314022,2021-03-30,46,9
371190055123,2021-03-30,117,30
371570414001,2021-03-30,478,289
371570416022,2021-03-30,79,16
371830517002,2021-03-30,51,10
371950008023,2021-03-30,65,10
370099704001,2021-03-30,70,18
370650206001,2021-03-30,59,10
370650208001,2021-03-30,60,12
370810145012,2021-03-30,30,13
370879202005,2021-03-30,73,18
371510315053,2021-03-30,51,11
371590518011,2021-03-30,211,36
371639702004,2021-03-30,142,20
370899305022,2021-03-30,118,28
371190015073,2021-03-30,62,20
371510315012,2021-03-30,145,26
370059503003,2021-03-30,69,12
370670030022,2021-03-30,75,26
370670040071,2021-03-30,150,26
370810104012,2021-03-30,36,7
371470020021,2021-03-30,80,10
371559619001,2021-03-30,30,5
371679310001,2021-03-30,81,9
371910013021,2021-03-30,88,22
370650215001,2021-03-30,55,11
371590509041,2021-03-30,84,13
371619611022,2021-03-30,44,7
371719305021,2021-03-30,39,5
370710301021,2021-03-30,224,51
371719306003,2021-03-30,86,12
371899204002,2021-03-30,76,16
371910004023,2021-03-30,55,14
370179505002,2021-03-30,88,23
370210026064,2021-03-30,48,9
370350118013,2021-03-30,117,18
370810158002,2021-03-30,57,10
371010408001,2021-03-30,48,15
371470003012,2021-03-30,108,18
371570409001,2021-03-30,48,8
371830530051,2021-03-30,30,8
370570620013,2021-03-30,140,17
370630016043,2021-03-30,122,27
370810103002,2021-03-30,51,7
370810126014,2021-03-30,112,24
371010402023,2021-03-30,121,20
371190030071,2021-03-30,47,7
371259511001,2021-03-30,81,14
371590504001,2021-03-30,45,7
371790210142,2021-03-30,47,9
371819608001,2021-03-30,39,16
370210027011,2021-03-30,87,12
370270301002,2021-03-30,696,472
370670004002,2021-03-30,17,6
371190058431,2021-03-30,135,26
371330023002,2021-03-30,177,21
371350110005,2021-03-30,79,20
371570407003,2021-03-30,36,7
371790203051,2021-03-30,208,50
371910009012,2021-03-30,59,10
371910020001,2021-03-30,21,6
370270303001,2021-03-30,79,20
370479306004,2021-03-30,76,5
371190020033,2021-03-30,54,17
371590503002,2021-03-30,103,31
370079204002,2021-03-30,56,17
370590802004,2021-03-30,75,19
370630011002,2021-03-30,56,10
371190053082,2021-03-30,24,3
371330017002,2021-03-30,68,22
371759604021,2021-03-30,65,15
371910008002,2021-03-30,130,13
370319708041,2021-03-30,106,18
370630016032,2021-03-30,265,75
371330003011,2021-03-30,98,22
370810144073,2021-03-30,67,13
371070101003,2021-03-30,50,10
371190057061,2021-03-30,120,27
371319202002,2021-03-30,22,6
371399607011,2021-03-30,133,21
371690706001,2021-03-30,127,25
370399301002,2021-03-30,41,10
370479310003,2021-03-30,86,18
370630021002,2021-03-30,113,28
370670040072,2021-03-30,152,30
371190019171,2021-03-30,79,25
371190046001,2021-03-30,32,7
371399602001,2021-03-30,74,22
370570612012,2021-03-30,74,26
370670027013,2021-03-30,59,16
371090711021,2021-03-30,443,85
371690701004,2021-03-30,53,9
371830528021,2021-03-30,81,20
370250425012,2021-03-30,267,86
370810153002,2021-03-30,150,31
370839307003,2021-03-30,26,6
371350117001,2021-03-30,147,13
371830535062,2021-03-30,33,8
370670008021,2021-03-30,11,2
370839303005,2021-03-30,58,16
370970604002,2021-03-30,47,16
371270106024,2021-03-30,36,5
371619612003,2021-03-30,115,24
371719310021,2021-03-30,95,20
371859501011,2021-03-30,78,22
370810166001,2021-03-30,226,99
371010415011,2021-03-30,118,17
371190058252,2021-03-30,153,36
371190058481,2021-03-30,169,45
371510313031,2021-03-30,209,49
371830537261,2021-03-30,92,28
370250408002,2021-03-30,108,25
370250408003,2021-03-30,94,36
370559702001,2021-03-30,36,10
370759201001,2021-03-30,17,1
370899304023,2021-03-30,420,245
371010415023,2021-03-30,246,80
371190055143,2021-03-30,102,42
371830507002,2021-03-30,31,9
371830524042,2021-03-30,42,15
371830540121,2021-03-30,86,24
370210013001,2021-03-30,85,18
370510032052,2021-03-30,130,34
370710312011,2021-03-30,69,11
371190010002,2021-03-30,20,6
371830523022,2021-03-30,131,30
370350118012,2021-03-30,190,33
370810164072,2021-03-30,107,20
371010402031,2021-03-30,1373,286
371190058172,2021-03-30,203,42
371270108001,2021-03-30,85,15
371830535071,2021-03-30,41,10
370210026072,2021-03-30,81,15
370230213011,2021-03-30,112,13
370350111024,2021-03-30,408,163
370810160082,2021-03-30,147,29
371190063041,2021-03-30,86,15
371350107042,2021-03-30,54,14
371350116022,2021-03-30,87,19
371419202021,2021-03-30,172,38
371499202003,2021-03-30,60,15
370190204042,2021-03-30,54,17
370319707011,2021-03-30,66,6
370879206003,2021-03-30,38,8
371010411012,2021-03-30,107,22
371190020022,2021-03-30,540,229
371510306002,2021-03-30,660,271
371819609001,2021-03-30,89,13
370010203003,2021-03-30,85,20
370499611001,2021-03-30,336,73
370810114004,2021-03-30,31,4
371290107002,2021-03-30,64,17
371539702001,2021-03-30,88,15
371830530093,2021-03-30,53,14
371910006012,2021-03-30,33,11
371939607002,2021-03-30,75,16
370350107002,2021-03-30,52,14
370459503022,2021-03-30,100,20
370670037031,2021-03-30,168,38
371190030074,2021-03-30,74,19
371679308012,2021-03-30,189,19
371790203072,2021-03-30,248,43
370210004002,2021-03-30,11,5
371050301022,2021-03-30,101,22
371090708002,2021-03-30,87,16
371190059091,2021-03-30,292,73
371330004012,2021-03-30,351,73
371470014022,2021-03-30,67,20
371679307003,2021-03-30,125,16
371790210111,2021-03-30,197,42
371830534091,2021-03-30,104,30
370099707005,2021-03-30,35,7
370370204013,2021-03-30,83,19
370850708011,2021-03-30,161,47
371470003021,2021-03-30,221,41
371830541154,2021-03-30,511,279
371910001011,2021-03-30,257,54
370079203003,2021-03-30,161,27
370190205074,2021-03-30,51,22
370630020191,2021-03-30,43,9
370670040053,2021-03-30,75,20
370779701013,2021-03-30,94,21
371330002021,2021-03-30,119,17
371759603001,2021-03-30,58,10
370350103042,2021-03-30,71,17
370350113003,2021-03-30,149,31
370570617011,2021-03-30,160,33
371070106002,2021-03-30,53,17
371190023001,2021-03-30,31,6
371379502022,2021-03-30,69,15
371830535201,2021-03-30,97,35
371950012003,2021-03-30,80,22
370670028042,2021-03-30,42,11
371350112042,2021-03-30,49,7
371559609001,2021-03-30,48,4
370319707022,2021-03-30,76,13
370510020023,2021-03-30,66,14
370570601024,2021-03-30,81,14
370630007002,2021-03-30,40,9
370710302051,2021-03-30,110,27
370839310003,2021-03-30,15,3
371190058341,2021-03-30,186,57
371270115002,2021-03-30,84,9
371510307001,2021-03-30,125,17
371950011001,2021-03-30,32,4
370010202003,2021-03-30,40,14
370459506022,2021-03-30,105,13
371639704004,2021-03-30,139,32
371639710003,2021-03-30,70,19
371830530091,2021-03-30,276,151
370670038031,2021-03-30,79,20
371219502004,2021-03-30,55,11
371459204002,2021-03-30,34,9
370510025031,2021-03-30,88,15
371010411031,2021-03-30,399,73
371119709011,2021-03-30,75,13
371190030181,2021-03-30,130,37
371270113001,2021-03-30,168,24
371470007014,2021-03-30,25,6
371830540171,2021-03-30,100,28
370350107001,2021-03-30,42,9
370510031042,2021-03-30,159,29
370531102001,2021-03-30,207,38
370670026012,2021-03-30,55,6
370839305022,2021-03-30,51,16
371070108003,2021-03-30,36,6
371290116052,2021-03-30,115,22
371719311022,2021-03-30,149,27
370010219013,2021-03-30,131,22
370459515012,2021-03-30,83,11
370810116011,2021-03-30,151,41
371050302002,2021-03-30,41,12
371139704002,2021-03-30,82,9
370810106011,2021-03-30,29,6
370899305012,2021-03-30,71,21
370970610011,2021-03-30,177,26
371190055113,2021-03-30,61,17
371539708001,2021-03-30,56,10
371719310012,2021-03-30,41,7
371010404002,2021-03-30,57,12
371350107034,2021-03-30,53,10
371470004001,2021-03-30,160,42
371939604004,2021-03-30,112,25
370570620023,2021-03-30,43,2
370899307021,2021-03-30,160,25
371070111004,2021-03-30,88,17
371830521011,2021-03-30,176,57
370179501003,2021-03-30,125,31
370230212021,2021-03-30,74,19
370479306001,2021-03-30,20,2
370510033022,2021-03-30,132,27
370510033131,2021-03-30,200,48
370570615001,2021-03-30,54,12
371010411021,2021-03-30,611,128
371190059112,2021-03-30,196,61
371830519002,2021-03-30,59,15
370970603001,2021-03-30,52,14
370999507001,2021-03-30,38,7
371190030075,2021-03-30,65,7
