GEOID,DATE,DEV,COMPHOME
370270313003,2021-04-15,68,10
370459505003,2021-04-15,92,24
370630004012,2021-04-15,42,14
370650207002,2021-04-15,50,11
371830524011,2021-04-15,245,70
370610905022,2021-04-15,94,22
370670016011,2021-04-15,46,15
370779703001,2021-04-15,51,14
371830523023,2021-04-15,165,35
370810128041,2021-04-15,134,37
371190031031,2021-04-15,81,23
371190056042,2021-04-15,152,42
371290120103,2021-04-15,69,15
371830538071,2021-04-15,106,31
370190205096,2021-04-15,88,29
370970610022,2021-04-15,71,16
371190058162,2021-04-15,44,9
371270108004,2021-04-15,104,22
371470001003,2021-04-15,169,26
371830534131,2021-04-15,580,193
371950008011,2021-04-15,14,4
370370208002,2021-04-15,122,36
370810160081,2021-04-15,146,33
371139707005,2021-04-15,88,15
371650106001,2021-04-15,33,7
371830506001,2021-04-15,33,8
371830538061,2021-04-15,288,108
371950004001,2021-04-15,38,9
370099704001,2021-04-15,74,14
370650206001,2021-04-15,57,15
370650208001,2021-04-15,60,11
370810145012,2021-04-15,30,7
370879202005,2021-04-15,70,16
371510315053,2021-04-15,56,9
371590518011,2021-04-15,211,45
371639702004,2021-04-15,152,27
370010212053,2021-04-15,248,56
370099708001,2021-04-15,62,10
370459509003,2021-04-15,129,88
370570603011,2021-04-15,254,63
370810126013,2021-04-15,46,5
370879205003,2021-04-15,117,24
370970614012,2021-04-15,153,35
371319203003,2021-04-15,48,14
371570403002,2021-04-15,52,10
371590511011,2021-04-15,153,33
370059501002,2021-04-15,68,21
370190205041,2021-04-15,85,25
370210025042,2021-04-15,122,30
370510038003,2021-04-15,44,13
371010401004,2021-04-15,82,20
370079203001,2021-04-15,97,13
370270309003,2021-04-15,90,20
370370201051,2021-04-15,60,17
370570616002,2021-04-15,52,10
370670012002,2021-04-15,51,11
370899307012,2021-04-15,103,21
371190058451,2021-04-15,78,26
371190062081,2021-04-15,199,52
371470016004,2021-04-15,125,28
371590511012,2021-04-15,70,19
371690701005,2021-04-15,62,8
371830529031,2021-04-15,231,64
371839801001,2021-04-15,29,7
371950001002,2021-04-15,39,19
370710310042,2021-04-15,99,21
370119301003,2021-04-15,32,5
370210027012,2021-04-15,91,19
370459505002,2021-04-15,117,18
370510033123,2021-04-15,95,26
370531103011,2021-04-15,98,26
370670040091,2021-04-15,129,23
370899309002,2021-04-15,102,21
371010402022,2021-04-15,315,74
371239604012,2021-04-15,54,16
371470005013,2021-04-15,94,22
371830543021,2021-04-15,52,11
370839309001,2021-04-15,27,8
371290103001,2021-04-15,104,27
371419202031,2021-04-15,424,97
370190205094,2021-04-15,52,14
370510008002,2021-04-15,51,10
370570602032,2021-04-15,142,34
370810110001,2021-04-15,22,6
371090712011,2021-04-15,115,25
371190055082,2021-04-15,91,28
371190058171,2021-04-15,61,14
371510313061,2021-04-15,223,47
371619611012,2021-04-15,66,11
371790202023,2021-04-15,99,24
371939604005,2021-04-15,88,17
370079204002,2021-04-15,44,9
370590802004,2021-04-15,74,16
370630011002,2021-04-15,55,19
371190053082,2021-04-15,27,4
371330017002,2021-04-15,54,16
371759604021,2021-04-15,77,19
371910008002,2021-04-15,129,20
370650215001,2021-04-15,63,15
371590509041,2021-04-15,81,13
371619611022,2021-04-15,46,11
371719305021,2021-04-15,43,4
370459506023,2021-04-15,88,13
370710332021,2021-04-15,161,43
370970615012,2021-04-15,173,50
371650106004,2021-04-15,109,22
370230203022,2021-04-15,220,56
370710303011,2021-04-15,75,14
370850703001,2021-04-15,119,28
371190033002,2021-04-15,11,2
371350108021,2021-04-15,88,21
371439201004,2021-04-15,108,26
370190203051,2021-04-15,156,39
370230206001,2021-04-15,92,20
370499601012,2021-04-15,122,41
370510033124,2021-04-15,44,8
370610903001,2021-04-15,40,11
370899314003,2021-04-15,90,20
371010413004,2021-04-15,137,31
371050306021,2021-04-15,83,15
371559615004,2021-04-15,39,4
370250425012,2021-04-15,240,67
370810153002,2021-04-15,156,35
370839307003,2021-04-15,34,10
371350117001,2021-04-15,141,16
371830535062,2021-04-15,34,13
370570620013,2021-04-15,137,34
370630016043,2021-04-15,103,27
370810103002,2021-04-15,52,13
370810126014,2021-04-15,105,27
371010402023,2021-04-15,123,30
371190030071,2021-04-15,49,8
371259511001,2021-04-15,75,15
371590504001,2021-04-15,40,16
371790210142,2021-04-15,57,11
371819608001,2021-04-15,40,13
370350116023,2021-04-15,120,13
370350117012,2021-04-15,128,21
371050305033,2021-04-15,137,30
371070114001,2021-04-15,58,12
371290101003,2021-04-15,19,4
371590510014,2021-04-15,153,22
371719311012,2021-04-15,103,34
371830532061,2021-04-15,382,95
371879501002,2021-04-15,24,9
370010203003,2021-04-15,84,28
370499611001,2021-04-15,341,89
370810114004,2021-04-15,30,8
371290107002,2021-04-15,65,19
371539702001,2021-04-15,79,12
371830530093,2021-04-15,46,16
371910006012,2021-04-15,22,4
371939607002,2021-04-15,63,15
370179505002,2021-04-15,97,36
370210026064,2021-04-15,49,13
370350118013,2021-04-15,114,23
370810158002,2021-04-15,48,14
371010408001,2021-04-15,49,7
371470003012,2021-04-15,111,28
371570409001,2021-04-15,47,9
371830530051,2021-04-15,42,17
370810106011,2021-04-15,30,8
370899305012,2021-04-15,75,18
370970610011,2021-04-15,162,37
371190055113,2021-04-15,57,14
371539708001,2021-04-15,40,11
371719310012,2021-04-15,36,7
370190205071,2021-04-15,65,26
370270308001,2021-04-15,87,7
370510010002,2021-04-15,66,22
370630017062,2021-04-15,98,33
370710316003,2021-04-15,86,17
370810126011,2021-04-15,38,14
370839305023,2021-04-15,90,24
370899314004,2021-04-15,57,10
371510310002,2021-04-15,82,25
371719310032,2021-04-15,91,22
371830541063,2021-04-15,137,45
370319708041,2021-04-15,104,29
370630016032,2021-04-15,222,76
371330003011,2021-04-15,103,19
370499602005,2021-04-15,106,25
370510033044,2021-04-15,26,6
370650204005,2021-04-15,71,20
370670010003,2021-04-15,63,24
371010408003,2021-04-15,49,8
371070114003,2021-04-15,69,15
371190055091,2021-04-15,133,40
371190060062,2021-04-15,494,142
371190060063,2021-04-15,91,15
371259508012,2021-04-15,42,10
371330001021,2021-04-15,205,56
371470018002,2021-04-15,16,3
371590511014,2021-04-15,208,47
371830528032,2021-04-15,127,29
370250426011,2021-04-15,223,52
370399303002,2021-04-15,21,1
370779703003,2021-04-15,77,19
370810106022,2021-04-15,46,4
371590514004,2021-04-15,111,25
371899207031,2021-04-15,103,31
370010210001,2021-04-15,35,5
370230208011,2021-04-15,179,40
370810158003,2021-04-15,216,51
