GEOID,DATE,DEV,COMPHOME
370270313003,2021-04-10,59,16
370459505003,2021-04-10,103,29
370630004012,2021-04-10,47,13
370650207002,2021-04-10,51,11
371830524011,2021-04-10,249,46
370610905022,2021-04-10,88,24
370670016011,2021-04-10,44,11
370779703001,2021-04-10,50,12
371830523023,2021-04-10,170,28
370190205096,2021-04-10,100,39
370970610022,2021-04-10,71,23
371190058162,2021-04-10,36,12
371270108004,2021-04-10,97,21
371470001003,2021-04-10,159,17
371830534131,2021-04-10,609,138
371950008011,2021-04-10,18,7
370010212053,2021-04-10,270,73
370099708001,2021-04-10,63,18
370459509003,2021-04-10,194,136
370570603011,2021-04-10,264,55
370810126013,2021-04-10,47,14
370879205003,2021-04-10,109,33
370970614012,2021-04-10,162,31
371319203003,2021-04-10,48,14
371570403002,2021-04-10,67,20
371590511011,2021-04-10,160,40
370810128041,2021-04-10,122,40
371190031031,2021-04-10,84,11
371190056042,2021-04-10,153,30
371290120103,2021-04-10,70,15
371830538071,2021-04-10,121,26
370099704001,2021-04-10,77,20
370650206001,2021-04-10,62,10
370650208001,2021-04-10,55,11
370810145012,2021-04-10,31,4
370879202005,2021-04-10,70,21
371510315053,2021-04-10,56,9
371590518011,2021-04-10,226,47
371639702004,2021-04-10,149,15
370459506023,2021-04-10,92,16
370710332021,2021-04-10,172,38
370970615012,2021-04-10,179,40
371650106004,2021-04-10,115,26
370190205094,2021-04-10,52,15
370510008002,2021-04-10,48,15
370570602032,2021-04-10,149,32
370810110001,2021-04-10,23,5
371090712011,2021-04-10,126,30
371190055082,2021-04-10,87,31
371190058171,2021-04-10,54,17
371510313061,2021-04-10,230,37
371619611012,2021-04-10,69,15
371790202023,2021-04-10,105,24
371939604005,2021-04-10,90,22
370350116023,2021-04-10,129,20
370350117012,2021-04-10,133,19
371050305033,2021-04-10,144,40
371070114001,2021-04-10,56,13
371290101003,2021-04-10,22,8
371590510014,2021-04-10,159,27
371719311012,2021-04-10,105,29
371830532061,2021-04-10,393,91
371879501002,2021-04-10,30,8
370119301003,2021-04-10,35,6
370210027012,2021-04-10,98,26
370459505002,2021-04-10,131,29
370510033123,2021-04-10,102,37
370531103011,2021-04-10,98,20
370670040091,2021-04-10,125,37
370899309002,2021-04-10,101,27
371010402022,2021-04-10,330,66
371239604012,2021-04-10,52,15
371470005013,2021-04-10,88,17
371830543021,2021-04-10,50,20
370079203001,2021-04-10,105,18
370270309003,2021-04-10,90,22
370370201051,2021-04-10,56,19
370570616002,2021-04-10,58,3
370670012002,2021-04-10,45,6
370899307012,2021-04-10,127,33
371190058451,2021-04-10,86,29
371190062081,2021-04-10,203,54
371470016004,2021-04-10,117,25
371590511012,2021-04-10,69,22
371690701005,2021-04-10,69,18
371830529031,2021-04-10,229,64
371839801001,2021-04-10,26,4
371950001002,2021-04-10,40,18
370710310042,2021-04-10,102,25
370650215001,2021-04-10,66,13
371590509041,2021-04-10,78,15
371619611022,2021-04-10,49,9
371719305021,2021-04-10,40,14
370010203003,2021-04-10,85,19
370499611001,2021-04-10,353,81
370810114004,2021-04-10,26,7
371290107002,2021-04-10,70,21
371539702001,2021-04-10,81,22
371830530093,2021-04-10,55,15
371910006012,2021-04-10,25,7
371939607002,2021-04-10,74,20
370010210001,2021-04-10,28,7
370230208011,2021-04-10,194,36
370810158003,2021-04-10,210,44
370970609012,2021-04-10,84,23
371830524041,2021-04-10,83,17
370399301002,2021-04-10,38,10
370479310003,2021-04-10,94,27
370630021002,2021-04-10,118,16
370670040072,2021-04-10,167,53
371190019171,2021-04-10,77,20
371190046001,2021-04-10,36,15
371399602001,2021-04-10,67,26
370370208002,2021-04-10,134,35
370810160081,2021-04-10,155,41
371139707005,2021-04-10,86,25
371650106001,2021-04-10,30,10
371830506001,2021-04-10,30,8
371830538061,2021-04-10,296,112
371950004001,2021-04-10,43,13
370570620013,2021-04-10,149,33
370630016043,2021-04-10,103,23
370810103002,2021-04-10,50,6
370810126014,2021-04-10,102,20
371010402023,2021-04-10,124,29
371190030071,2021-04-10,58,16
371259511001,2021-04-10,80,21
371590504001,2021-04-10,45,13
371790210142,2021-04-10,52,19
371819608001,2021-04-10,39,14
370059501002,2021-04-10,79,27
370190205041,2021-04-10,91,27
370210025042,2021-04-10,119,24
370510038003,2021-04-10,46,14
371010401004,2021-04-10,96,18
370250417021,2021-04-10,100,18
370399301003,2021-04-10,48,19
370810162011,2021-04-10,275,61
370810167021,2021-04-10,112,20
370670035003,2021-04-10,48,12
370670040111,2021-04-10,129,33
370710314022,2021-04-10,39,6
371190055123,2021-04-10,124,42
371570414001,2021-04-10,466,288
371570416022,2021-04-10,81,16
371830517002,2021-04-10,47,4
371950008023,2021-04-10,70,15
370190203051,2021-04-10,157,38
370230206001,2021-04-10,87,31
370499601012,2021-04-10,124,35
370510033124,2021-04-10,45,14
370610903001,2021-04-10,36,11
370899314003,2021-04-10,90,18
371010413004,2021-04-10,141,19
371050306021,2021-04-10,92,22
371559615004,2021-04-10,47,1
370190205071,2021-04-10,65,20
370270308001,2021-04-10,96,22
370510010002,2021-04-10,59,31
370630017062,2021-04-10,89,27
370710316003,2021-04-10,84,19
370810126011,2021-04-10,48,19
370839305023,2021-04-10,88,14
370899314004,2021-04-10,55,15
371510310002,2021-04-10,86,16
371719310032,2021-04-10,92,17
371830541063,2021-04-10,132,47
370839309001,2021-04-10,26,4
371290103001,2021-04-10,120,47
371419202031,2021-04-10,416,79
370690604021,2021-04-10,103,15
370710325081,2021-04-10,60,15
371190012003,2021-04-10,93,22
370250426022,2021-04-10,100,23
370630001011,2021-04-10,24,2
370710331002,2021-04-10,53,11
371190025001,2021-04-10,214,26
371190062032,2021-04-10,145,39
371290116062,2021-04-10,96,19
371379502021,2021-04-10,31,17
371830528033,2021-04-10,177,53
371950009001,2021-04-10,81,15
370079204002,2021-04-10,43,12
370590802004,2021-04-10,82,21
370630011002,2021-04-10,51,16
371190053082,2021-04-10,16,5
371330017002,2021-04-10,52,19
371759604021,2021-04-10,81,30
371910008002,2021-04-10,131,17
370970603001,2021-04-10,47,15
370999507001,2021-04-10,34,6
371190030075,2021-04-10,64,14
