GEOID,DATE,DEV,COMPHOME
370270313003,2021-04-02,58,11
370459505003,2021-04-02,90,19
370630004012,2021-04-02,58,8
370650207002,2021-04-02,47,6
371830524011,2021-04-02,224,53
370610905022,2021-04-02,85,10
370670016011,2021-04-02,47,19
370779703001,2021-04-02,40,6
371830523023,2021-04-02,156,23
370810128041,2021-04-02,128,44
371190031031,2021-04-02,59,5
371190056042,2021-04-02,108,19
371290120103,2021-04-02,69,16
371830538071,2021-04-02,109,32
370230203022,2021-04-02,198,36
370710303011,2021-04-02,80,17
370850703001,2021-04-02,109,31
371190033002,2021-04-02,10,3
371350108021,2021-04-02,102,17
371439201004,2021-04-02,110,30
370370208002,2021-04-02,127,36
370810160081,2021-04-02,147,35
371139707005,2021-04-02,71,17
371650106001,2021-04-02,29,6
371830506001,2021-04-02,33,8
371830538061,2021-04-02,272,93
371950004001,2021-04-02,42,9
370190203071,2021-04-02,35,4
370210027021,2021-04-02,134,37
370270303004,2021-04-02,76,24
370479308002,2021-04-02,96,18
371190054042,2021-04-02,90,18
371350107053,2021-04-02,31,6
371559602013,2021-04-02,95,24
371559620012,2021-04-02,31,8
371830537221,2021-04-02,55,10
370059501002,2021-04-02,63,11
370190205041,2021-04-02,87,25
370210025042,2021-04-02,112,27
370510038003,2021-04-02,40,12
371010401004,2021-04-02,86,30
370190205096,2021-04-02,83,23
370970610022,2021-04-02,64,14
371190058162,2021-04-02,48,12
371270108004,2021-04-02,84,18
371470001003,2021-04-02,164,15
371830534131,2021-04-02,579,142
371950008011,2021-04-02,17,4
370350116023,2021-04-02,127,10
370350117012,2021-04-02,123,23
371050305033,2021-04-02,130,21
371070114001,2021-04-02,68,11
371290101003,2021-04-02,18,1
371590510014,2021-04-02,164,28
371719311012,2021-04-02,97,22
371830532061,2021-04-02,376,82
371879501002,2021-04-02,24,5
370079203001,2021-04-02,104,22
370270309003,2021-04-02,86,19
370370201051,2021-04-02,58,20
370570616002,2021-04-02,55,5
370670012002,2021-04-02,40,5
370899307012,2021-04-02,107,23
371190058451,2021-04-02,84,16
371190062081,2021-04-02,186,51
371470016004,2021-04-02,114,25
371590511012,2021-04-02,73,13
371690701005,2021-04-02,69,9
371830529031,2021-04-02,216,58
371839801001,2021-04-02,31,1
371950001002,2021-04-02,31,14
370099704001,2021-04-02,73,19
370650206001,2021-04-02,52,18
370650208001,2021-04-02,68,12
370810145012,2021-04-02,30,4
370879202005,2021-04-02,59,15
371510315053,2021-04-02,53,14
371590518011,2021-04-02,204,32
371639702004,2021-04-02,136,5
370079204002,2021-04-02,45,15
370590802004,2021-04-02,73,6
370630011002,2021-04-02,53,13
371190053082,2021-04-02,20,3
371330017002,2021-04-02,64,24
371759604021,2021-04-02,66,18
371910008002,2021-04-02,127,17
370010203003,2021-04-02,78,20
370499611001,2021-04-02,323,81
370810114004,2021-04-02,25,2
371290107002,2021-04-02,73,18
371539702001,2021-04-02,89,26
371830530093,2021-04-02,53,11
371910006012,2021-04-02,33,9
371939607002,2021-04-02,74,16
370010212053,2021-04-02,240,68
370099708001,2021-04-02,57,16
370459509003,2021-04-02,134,83
370570603011,2021-04-02,238,48
370810126013,2021-04-02,44,9
370879205003,2021-04-02,112,26
370970614012,2021-04-02,155,26
371319203003,2021-04-02,49,10
371570403002,2021-04-02,57,13
371590511011,2021-04-02,154,21
370710310042,2021-04-02,96,17
370190205094,2021-04-02,43,16
370510008002,2021-04-02,49,11
370570602032,2021-04-02,135,15
370810110001,2021-04-02,22,5
371090712011,2021-04-02,131,26
371190055082,2021-04-02,76,22
371190058171,2021-04-02,54,12
371510313061,2021-04-02,233,32
371619611012,2021-04-02,70,7
371790202023,2021-04-02,103,27
371939604005,2021-04-02,85,18
370319708041,2021-04-02,92,21
370630016032,2021-04-02,219,60
371330003011,2021-04-02,105,32
370839309001,2021-04-02,26,5
371290103001,2021-04-02,116,35
371419202031,2021-04-02,393,73
370119301003,2021-04-02,29,6
370210027012,2021-04-02,102,19
370459505002,2021-04-02,119,27
370510033123,2021-04-02,86,17
370531103011,2021-04-02,94,27
370670040091,2021-04-02,121,27
370899309002,2021-04-02,100,28
371010402022,2021-04-02,318,62
371239604012,2021-04-02,46,14
371470005013,2021-04-02,90,15
371830543021,2021-04-02,53,17
370459506023,2021-04-02,91,16
370710332021,2021-04-02,149,26
370970615012,2021-04-02,172,48
371650106004,2021-04-02,94,19
370499610022,2021-04-02,57,10
371010408002,2021-04-02,351,188
371270105021,2021-04-02,133,40
371330012004,2021-04-02,77,19
371899209004,2021-04-02,65,9
370250417021,2021-04-02,91,9
370399301003,2021-04-02,42,16
370810162011,2021-04-02,263,43
370810167021,2021-04-02,113,24
370210016004,2021-04-02,57,15
370570605001,2021-04-02,106,19
370939701012,2021-04-02,287,70
370970616021,2021-04-02,660,243
371139707002,2021-04-02,66,10
371190030153,2021-04-02,66,11
371190037002,2021-04-02,71,21
371190055181,2021-04-02,152,44
371570407001,2021-04-02,101,27
370810144073,2021-04-02,61,10
371070101003,2021-04-02,52,12
371190057061,2021-04-02,119,19
371319202002,2021-04-02,31,7
371399607011,2021-04-02,127,27
371690706001,2021-04-02,124,24
370570620013,2021-04-02,133,21
370630016043,2021-04-02,113,30
370810103002,2021-04-02,46,9
370810126014,2021-04-02,108,23
371010402023,2021-04-02,120,18
371190030071,2021-04-02,41,4
371259511001,2021-04-02,76,16
371590504001,2021-04-02,46,10
371790210142,2021-04-02,46,13
371819608001,2021-04-02,33,10
370250408002,2021-04-02,97,23
370250408003,2021-04-02,82,21
370559702001,2021-04-02,49,16
370759201001,2021-04-02,21,7
370899304023,2021-04-02,324,166
371010415023,2021-04-02,221,65
371190055143,2021-04-02,110,24
371830507002,2021-04-02,28,8
371830524042,2021-04-02,47,8
371830540121,2021-04-02,79,16
370570612011,2021-04-02,109,25
370850713032,2021-04-02,187,44
371090709023,2021-04-02,147,27
371190062031,2021-04-02,114,15
371650105004,2021-04-02,48,8
371790209011,2021-04-02,126,19
370670035003,2021-04-02,50,10
370670040111,2021-04-02,124,23
370710314022,2021-04-02,43,14
371190055123,2021-04-02,110,29
371570414001,2021-04-02,378,232
371570416022,2021-04-02,76,11
371830517002,2021-04-02,50,6
371950008023,2021-04-02,67,10
370650215001,2021-04-02,58,10
371590509041,2021-04-02,75,10
371619611022,2021-04-02,40,4
371719305021,2021-04-02,40,6
370250422002,2021-04-02,106,20
370339302001,2021-04-02,29,5
370531102002,2021-04-02,391,84
370810125031,2021-04-02,46,9
370810157053,2021-04-02,50,13
370970609014,2021-04-02,68,8
371010411033,2021-04-02,512,101
371830523021,2021-04-02,133,39
370630006001,2021-04-02,51,16
370899307033,2021-04-02,129,34
371559602011,2021-04-02,77,26
371830530081,2021-04-02,126,26
370899305022,2021-04-02,99,22
371190015073,2021-04-02,67,11
371510315012,2021-04-02,138,19
371010404002,2021-04-02,56,11
371350107034,2021-04-02,41,7
371470004001,2021-04-02,133,12
371939604004,2021-04-02,106,27
370250425012,2021-04-02,253,72
370810153002,2021-04-02,142,23
370839307003,2021-04-02,25,3
371350117001,2021-04-02,149,10
371830535062,2021-04-02,26,9
370210027011,2021-04-02,78,11
370270301002,2021-04-02,537,353
370670004002,2021-04-02,25,10
371190058431,2021-04-02,128,28
371330023002,2021-04-02,170,37
371350110005,2021-04-02,76,29
371570407003,2021-04-02,42,5
371790203051,2021-04-02,202,40
371910009012,2021-04-02,67,14
371910020001,2021-04-02,15,1
370459516024,2021-04-02,70,14
370690606003,2021-04-02,164,33
370710310011,2021-04-02,68,10
371470011001,2021-04-02,104,17
371510311003,2021-04-02,69,16
371910007001,2021-04-02,26,5
371939607003,2021-04-02,57,12
370399301002,2021-04-02,36,7
370479310003,2021-04-02,79,10
370630021002,2021-04-02,110,20
370670040072,2021-04-02,147,27
371190019171,2021-04-02,82,21
371190046001,2021-04-02,45,19
371399602001,2021-04-02,59,18
370010219013,2021-04-02,124,8
370459515012,2021-04-02,87,14
370810116011,2021-04-02,139,40
371050302002,2021-04-02,47,13
371139704002,2021-04-02,77,14
370630017081,2021-04-02,155,34
371150102001,2021-04-02,80,21
371190019151,2021-04-02,54,13
371399607021,2021-04-02,109,15
371470020025,2021-04-02,49,10
371559606002,2021-04-02,65,13
371790210131,2021-04-02,574,104
371830535092,2021-04-02,96,24
370250423003,2021-04-02,52,18
370499605004,2021-04-02,87,21
370899309001,2021-04-02,48,12
371010409012,2021-04-02,231,44
371290111001,2021-04-02,41,9
371510311002,2021-04-02,72,10
370210026072,2021-04-02,84,17
370230213011,2021-04-02,92,9
370350111024,2021-04-02,378,148
370810160082,2021-04-02,141,28
371190063041,2021-04-02,91,14
371350107042,2021-04-02,60,14
371350116022,2021-04-02,81,6
371419202021,2021-04-02,167,24
371499202003,2021-04-02,55,11
370179505002,2021-04-02,85,22
370210026064,2021-04-02,42,5
370350118013,2021-04-02,114,24
370810158002,2021-04-02,61,12
371010408001,2021-04-02,43,6
371470003012,2021-04-02,102,24
371570409001,2021-04-02,43,7
371830530051,2021-04-02,33,6
370459510002,2021-04-02,67,14
371190006002,2021-04-02,51,14
371590512011,2021-04-02,177,32
371899207033,2021-04-02,112,15
370479309001,2021-04-02,62,11
370630016013,2021-04-02,87,19
371619607002,2021-04-02,60,16
